Time,x_sat,y_sat,z_sat,InTrackAngle,CrossTrackAngle
4.0,2311.6576313093865,-2311.657631309386,6614.331234484536,70.23701181822712,0.1945742572403321
5.0,2028.1383980954681,-2028.1383980954677,6797.809129756517,70.01179353175081,0.8895840149574687
6.0,1737.3753309718861,-1737.3753309718852,6957.00751810146,64.73090052007042,1.0540147802007667
7.0,1440.4069386357216,-1440.4069386357207,7091.357795973892,61.45388253925083,-0.5574733678653724
8.0,1138.2938931360436,-1138.2938931360427,7200.380108991326,54.21320916232778,-1.1455822053529154
9.0,832.1152415071177,-832.1152415071173,7283.685065814052,47.50260280360898,1.6298954982138003
10.0,522.9645517722917,-522.9645517722907,7340.975128921142,32.20554785523121,0.4397260748033639
11.0,211.94600708376052,-211.94600708376007,7372.045677315223,15.243182718170388,-0.5174935946777032
12.0,-99.82953805137105,99.82953805137196,7376.785737360444,-5.955746343140477,-0.8705550830085781
13.0,-411.2485253728957,411.24852537289615,7355.178379143282,-24.603594973194863,-1.1766039265674324
15.0,-1028.5729337723587,1028.5729337723592,7233.323933578628,-51.33194856534251,0.8422025763904736
16.0,-1332.273477960718,1332.2734779607185,7133.51206966838,-58.99088614376847,0.920267780365816
17.0,-1631.2155856411648,1631.2155856411653,7008.22167989728,-63.354935197082085,0.9339484845223597
18.0,-1924.331535311716,1924.3315353117164,6857.900259749282,-67.15898817243313,-1.046141109984105
19.0,-2210.574414563593,2210.5744145635936,6683.0847072002025,-70.83707193800083,-0.9926064153480093
20.0,-2488.921859303167,2488.9218593031674,6484.399405097229,-71.87303685013718,-0.44770111961278153
