Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
25.000,16889.293,-7246.218,0.000,5860.809,38.233,-2515.909,89.063,0.000,0.000,0.004,-0.004,5875.809,57.349,-2500.909,133.595,15.000,0.000,500.000,100.000,500.000,100.000,500.000,100.000,0.000,0.000,1.000,1.000,5875.809,57.349,-2500.909,133.595,15.000,0.000,500.000,100.000,500.000,100.000,500.000,100.000,0.000,0.000,1.000,1.000
25.500,16943.892,-7117.614,0.000,5879.756,37.555,-2471.305,89.351,0.000,0.000,0.007,0.002,5888.068,54.466,-2471.698,130.937,0.401,-1.270,487.613,100.385,89.198,97.296,1.748,96.679,-0.197,-0.070,0.013,0.013,5888.068,54.466,-2471.698,130.937,0.401,-1.270,487.613,100.385,89.198,97.296,1.748,96.679,-0.197,-0.070,0.013,0.013
26.000,16997.511,-6988.599,0.000,5898.364,36.875,-2426.559,89.634,0.000,0.000,0.008,0.002,5907.953,47.950,-2426.827,118.568,-0.371,-1.356,598.067,97.495,103.769,72.035,1.713,67.455,-0.107,0.001,0.002,0.002,5907.953,47.950,-2426.827,118.568,-0.371,-1.356,598.067,97.495,103.769,72.035,1.713,67.455,-0.107,0.001,0.002,0.002
26.500,17050.148,-6859.181,0.000,5916.631,36.193,-2381.672,89.912,0.000,0.000,0.006,-0.003,5926.419,43.964,-2382.411,111.632,0.682,-0.491,753.437,96.884,124.464,57.739,1.709,51.470,-0.078,-0.008,0.002,0.002,5926.419,43.964,-2382.411,111.632,0.682,-0.491,753.437,96.884,124.464,57.739,1.709,51.470,-0.078,-0.008,0.002,0.002
27.000,17101.799,-6729.366,0.000,5934.556,35.509,-2336.648,90.184,0.000,0.000,0.005,0.001,5944.329,41.293,-2337.480,107.603,0.137,-0.612,955.017,97.319,150.313,48.853,1.706,41.937,-0.057,-0.001,0.002,0.002,5944.329,41.293,-2337.480,107.603,0.137,-0.612,955.017,97.319,150.313,48.853,1.706,41.937,-0.057,-0.001,0.002,0.002
27.500,17152.463,-6599.161,0.000,5952.139,34.822,-2291.489,90.451,0.000,0.000,0.008,0.003,5961.956,39.335,-2291.670,105.193,-0.578,-0.753,1203.959,98.262,180.645,42.729,1.705,35.668,-0.042,0.002,0.001,0.001,5961.956,39.335,-2291.670,105.193,-0.578,-0.753,1203.959,98.262,180.645,42.729,1.705,35.668,-0.042,0.002,0.001,0.001
28.000,17202.134,-6468.576,0.000,5969.379,34.134,-2246.198,90.713,0.000,0.000,0.010,-0.002,5979.068,37.697,-2245.829,103.475,0.290,-0.378,1501.387,99.482,214.830,38.207,1.703,31.269,-0.035,-0.006,0.001,0.001,5979.068,37.697,-2245.829,103.475,0.290,-0.378,1501.387,99.482,214.830,38.207,1.703,31.269,-0.035,-0.006,0.001,0.001
28.500,17250.812,-6337.617,0.000,5986.273,33.444,-2200.777,90.970,0.000,0.000,0.004,-0.005,5995.238,36.136,-2201.377,101.811,-0.924,-0.654,1848.517,100.871,252.142,34.696,1.702,28.041,-0.038,-0.005,0.001,0.001,5995.238,36.136,-2201.377,101.811,-0.924,-0.654,1848.517,100.871,252.142,34.696,1.702,28.041,-0.038,-0.005,0.001,0.001
29.000,17298.493,-6206.291,0.000,6002.822,32.752,-2155.229,91.221,0.000,0.000,0.009,0.002,6011.695,34.927,-2154.771,101.036,-0.379,-0.440,2246.690,102.369,291.717,31.867,1.702,25.592,-0.023,-0.004,0.001,0.001,6011.695,34.927,-2154.771,101.036,-0.379,-0.440,2246.690,102.369,291.717,31.867,1.702,25.592,-0.023,-0.004,0.001,0.001
29.500,17345.174,-6074.607,0.000,6019.025,32.058,-2109.556,91.468,0.000,0.000,0.010,-0.001,6027.517,33.756,-2108.654,100.306,0.088,-0.285,2696.545,103.923,333.479,29.535,1.701,23.687,-0.023,-0.003,0.001,0.001,6027.517,33.756,-2108.654,100.306,0.088,-0.285,2696.545,103.923,333.479,29.535,1.701,23.687,-0.023,-0.003,0.001,0.001
