Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
25.000,16889.293,-7246.218,0.000,5860.809,38.233,-2515.909,89.063,0.000,0.000,0.006,0.002,5875.809,57.349,-2500.909,133.595,15.000,0.000,50000.000,10000.000,50000.000,10000.000,50000.000,10000.000,0.000,0.000,1.000,1.000,5875.809,57.349,-2500.909,133.595,15.000,0.000,50000.000,10000.000,50000.000,10000.000,50000.000,10000.000,0.000,0.000,1.000,1.000
25.500,16943.892,-7117.614,0.000,5879.756,37.555,-2471.305,89.351,0.000,0.000,0.006,0.000,5887.928,54.325,-2472.026,130.594,0.083,-1.419,44539.938,9933.410,8018.211,9594.301,1.834,9526.587,-0.198,-0.071,1.200,1.200,5887.928,54.325,-2472.026,130.594,0.083,-1.419,44539.938,9933.410,8018.211,9594.301,1.834,9526.587,-0.198,-0.071,1.200,1.200
26.000,16997.511,-6988.599,0.000,5898.364,36.875,-2426.559,89.634,0.000,0.000,0.006,0.001,5910.218,37.137,-2428.694,90.841,-0.279,-0.730,51265.457,8716.713,8764.492,1516.774,1.751,210.625,-0.106,-0.002,0.056,0.056,5910.218,37.137,-2428.694,90.841,-0.279,-0.730,51265.457,8716.713,8764.492,1516.774,1.751,210.625,-0.106,-0.002,0.056,0.056
26.500,17050.148,-6859.181,0.000,5916.631,36.193,-2381.672,89.912,0.000,0.000,0.006,0.001,5928.759,36.304,-2383.746,90.696,-0.287,-0.370,62423.591,8807.856,10112.781,1323.351,1.724,103.720,-0.002,-0.002,0.003,0.003,5928.759,36.304,-2383.746,90.696,-0.287,-0.370,62423.591,8807.856,10112.781,1323.351,1.724,103.720,-0.002,-0.002,0.003,0.003
27.000,17101.799,-6729.366,0.000,5934.556,35.509,-2336.648,90.184,0.000,0.000,0.005,0.001,5946.174,35.432,-2338.568,90.721,-0.129,-0.139,77855.054,8894.312,12063.142,1201.774,1.714,69.313,-0.002,-0.002,0.002,0.002,5946.174,35.432,-2338.568,90.721,-0.129,-0.139,77855.054,8894.312,12063.142,1201.774,1.714,69.313,-0.002,-0.002,0.002,0.002
27.500,17152.463,-6599.161,0.000,5952.139,34.822,-2291.489,90.451,0.000,0.000,0.009,0.000,5964.697,34.957,-2292.821,91.272,-0.106,-0.091,97852.975,8986.257,14493.085,1096.201,1.709,52.483,0.003,-0.000,0.002,0.002,5964.697,34.957,-2292.821,91.272,-0.106,-0.091,97852.975,8986.257,14493.085,1096.201,1.709,52.483,0.003,-0.000,0.002,0.002
28.000,17202.134,-6468.576,0.000,5969.379,34.134,-2246.198,90.713,0.000,0.000,0.007,-0.001,5981.097,34.055,-2247.509,91.299,0.256,0.077,122434.549,9077.839,17331.274,999.308,1.706,42.583,-0.003,-0.002,0.002,0.002,5981.097,34.055,-2247.509,91.299,0.256,0.077,122434.549,9077.839,17331.274,999.308,1.706,42.583,-0.003,-0.002,0.002,0.002
28.500,17250.812,-6337.617,0.000,5986.273,33.444,-2200.777,90.970,0.000,0.000,0.007,-0.001,5997.558,33.295,-2201.908,91.482,-0.112,-0.065,151728.157,9170.140,20496.221,908.019,1.704,36.115,-0.001,-0.002,0.001,0.001,5997.558,33.295,-2201.908,91.482,-0.112,-0.065,151728.157,9170.140,20496.221,908.019,1.704,36.115,-0.001,-0.002,0.001,0.001
29.000,17298.493,-6206.291,0.000,6002.822,32.752,-2155.229,91.221,0.000,0.000,0.004,-0.001,6013.262,32.452,-2156.612,91.535,0.272,0.062,185755.245,9260.323,23929.779,822.090,1.703,31.597,-0.004,-0.002,0.001,0.001,6013.262,32.452,-2156.612,91.535,0.272,0.062,185755.245,9260.323,23929.779,822.090,1.703,31.597,-0.004,-0.002,0.001,0.001
29.500,17345.174,-6074.607,0.000,6019.025,32.058,-2109.556,91.468,0.000,0.000,0.009,0.003,6030.305,31.904,-2109.947,92.057,0.594,0.141,224597.652,9348.789,27559.589,740.723,1.702,28.291,0.005,0.001,0.001,0.001,6030.305,31.904,-2109.947,92.057,0.594,0.141,224597.652,9348.789,27559.589,740.723,1.702,28.291,0.005,0.001,0.001,0.001
