Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
25.000,16889.293,-7246.218,0.000,5860.809,38.233,-2515.909,89.063,0.000,0.000,0.002,0.001,5875.809,57.349,-2500.909,133.595,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,5875.809,57.349,-2500.909,133.595,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
25.500,16943.892,-7117.614,0.000,5879.756,37.555,-2471.305,89.351,0.000,0.000,0.004,0.000,5891.062,54.917,-2464.649,132.033,3.070,-0.852,614.671,100.600,225.561,98.565,140.149,98.157,-0.199,-0.071,0.020,0.020,5891.062,54.917,-2464.649,132.033,3.070,-0.852,614.671,100.600,225.561,98.565,140.149,98.157,-0.199,-0.071,0.020,0.020
26.000,16997.511,-6988.599,0.000,5898.364,36.875,-2426.559,89.634,0.000,0.000,0.006,-0.001,5911.819,51.767,-2414.709,128.368,1.020,-1.279,717.551,100.520,206.408,91.944,98.456,90.419,-0.148,-0.014,0.009,0.009,5911.819,51.767,-2414.709,128.368,1.020,-1.279,717.551,100.520,206.408,91.944,98.456,90.419,-0.148,-0.014,0.009,0.009
26.500,17050.148,-6859.181,0.000,5916.631,36.193,-2381.672,89.912,0.000,0.000,0.005,-0.001,5931.067,48.075,-2367.450,122.770,0.016,-1.410,871.156,100.075,223.326,80.864,92.731,77.823,-0.164,-0.003,0.008,0.008,5931.067,48.075,-2367.450,122.770,0.016,-1.410,871.156,100.075,223.326,80.864,92.731,77.823,-0.164,-0.003,0.008,0.008
27.000,17101.799,-6729.366,0.000,5934.556,35.509,-2336.648,90.184,0.000,0.000,0.002,-0.001,5948.776,44.560,-2322.944,116.977,-0.229,-1.240,1072.237,99.874,249.534,69.020,92.443,64.680,-0.163,-0.004,0.008,0.008,5948.776,44.560,-2322.944,116.977,-0.229,-1.240,1072.237,99.874,249.534,69.020,92.443,64.680,-0.163,-0.004,0.008,0.008
27.500,17152.463,-6599.161,0.000,5952.139,34.822,-2291.489,90.451,0.000,0.000,0.010,0.000,5965.927,41.738,-2278.507,112.520,-0.458,-1.104,1321.103,100.164,279.444,58.799,91.801,53.636,-0.136,-0.004,0.008,0.008,5965.927,41.738,-2278.507,112.520,-0.458,-1.104,1321.103,100.164,279.444,58.799,91.801,53.636,-0.136,-0.004,0.008,0.008
28.000,17202.134,-6468.576,0.000,5969.379,34.134,-2246.198,90.713,0.000,0.000,0.006,-0.002,5982.310,39.372,-2234.802,108.939,-0.229,-0.860,1618.702,100.895,312.264,50.727,90.436,45.173,-0.123,-0.007,0.008,0.008,5982.310,39.372,-2234.802,108.939,-0.229,-0.860,1618.702,100.895,312.264,50.727,90.436,45.173,-0.123,-0.007,0.008,0.008
28.500,17250.812,-6337.617,0.000,5986.273,33.444,-2200.777,90.970,0.000,0.000,0.007,0.000,5998.323,37.436,-2190.758,106.307,-0.344,-0.771,1966.190,101.945,347.795,44.503,88.802,38.870,-0.104,-0.003,0.008,0.008,5998.323,37.436,-2190.758,106.307,-0.344,-0.771,1966.190,101.945,347.795,44.503,88.802,38.870,-0.104,-0.003,0.008,0.008
29.000,17298.493,-6206.291,0.000,6002.822,32.752,-2155.229,91.221,0.000,0.000,0.004,0.000,6013.912,35.778,-2146.580,104.295,-0.388,-0.683,2364.655,103.208,385.773,39.680,87.214,34.173,-0.091,-0.003,0.008,0.008,6013.912,35.778,-2146.580,104.295,-0.388,-0.683,2364.655,103.208,385.773,39.680,87.214,34.173,-0.091,-0.003,0.008,0.008
29.500,17345.174,-6074.607,0.000,6019.025,32.058,-2109.556,91.468,0.000,0.000,0.008,-0.001,6029.321,34.369,-2101.556,102.894,-0.289,-0.580,2815.198,104.607,425.737,35.879,85.808,30.629,-0.074,-0.004,0.008,0.008,6029.321,34.369,-2101.556,102.894,-0.289,-0.580,2815.198,104.607,425.737,35.879,85.808,30.629,-0.074,-0.004,0.008,0.008
