Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
25.000,16889.293,-7246.218,0.000,5860.809,38.233,-2515.909,89.063,0.000,0.000,0.010,0.001,5875.809,57.349,-2500.909,133.595,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,5875.809,57.349,-2500.909,133.595,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
25.500,16943.892,-7117.614,0.000,5879.756,37.555,-2471.305,89.351,0.000,0.000,0.006,-0.001,5888.334,54.727,-2471.069,131.571,0.078,-1.066,595.900,100.508,121.275,98.024,17.096,97.529,-0.198,-0.073,0.016,0.016,5888.334,54.727,-2471.069,131.571,0.078,-1.066,595.900,100.508,121.275,98.024,17.096,97.529,-0.198,-0.073,0.016,0.016
26.000,16997.511,-6988.599,0.000,5898.364,36.875,-2426.559,89.634,0.000,0.000,0.007,-0.005,5908.947,49.372,-2423.933,122.223,0.746,-0.418,706.119,98.601,133.803,79.313,14.738,75.852,-0.113,-0.007,0.003,0.003,5908.947,49.372,-2423.933,122.223,0.746,-0.418,706.119,98.601,133.803,79.313,14.738,75.852,-0.113,-0.007,0.003,0.003
26.500,17050.148,-6859.181,0.000,5916.631,36.193,-2381.672,89.912,0.000,0.000,0.007,0.001,5927.607,44.992,-2379.476,114.435,0.327,-0.522,861.961,97.622,153.992,63.092,14.709,57.565,-0.101,-0.001,0.002,0.002,5927.607,44.992,-2379.476,114.435,0.327,-0.522,861.961,97.622,153.992,63.092,14.709,57.565,-0.101,-0.001,0.002,0.002
27.000,17101.799,-6729.366,0.000,5934.556,35.509,-2336.648,90.184,0.000,0.000,0.009,0.000,5945.595,42.003,-2334.710,109.659,0.028,-0.538,1064.172,97.782,179.087,52.450,14.568,45.990,-0.076,-0.000,0.002,0.002,5945.595,42.003,-2334.710,109.659,0.028,-0.538,1064.172,97.782,179.087,52.450,14.568,45.990,-0.076,-0.000,0.002,0.002
27.500,17152.463,-6599.161,0.000,5952.139,34.822,-2291.489,90.451,0.000,0.000,0.008,0.003,5962.931,39.733,-2289.969,106.453,-0.474,-0.620,1313.779,98.574,208.678,45.259,14.440,38.493,-0.062,0.001,0.002,0.002,5962.931,39.733,-2289.969,106.453,-0.474,-0.620,1313.779,98.574,208.678,45.259,14.440,38.493,-0.062,0.001,0.002,0.002
28.000,17202.134,-6468.576,0.000,5969.379,34.134,-2246.198,90.713,0.000,0.000,0.008,0.003,5979.875,37.935,-2244.769,104.310,-0.685,-0.589,1611.956,99.711,242.087,40.079,14.346,33.347,-0.050,-0.001,0.002,0.002,5979.875,37.935,-2244.769,104.310,-0.685,-0.589,1611.956,99.711,242.087,40.079,14.346,33.347,-0.050,-0.001,0.002,0.002
28.500,17250.812,-6337.617,0.000,5986.273,33.444,-2200.777,90.970,0.000,0.000,0.006,0.002,5996.259,36.372,-2199.751,102.659,-0.538,-0.468,1959.822,101.048,278.687,36.145,14.276,29.638,-0.044,-0.003,0.002,0.002,5996.259,36.372,-2199.751,102.659,-0.538,-0.468,1959.822,101.048,278.687,36.145,14.276,29.638,-0.044,-0.003,0.002,0.002
29.000,17298.493,-6206.291,0.000,6002.822,32.752,-2155.229,91.221,0.000,0.000,0.006,0.001,6012.364,35.029,-2154.182,101.513,-0.296,-0.351,2358.569,102.507,317.767,33.033,14.224,26.864,-0.036,-0.003,0.002,0.002,6012.364,35.029,-2154.182,101.513,-0.296,-0.351,2358.569,102.507,317.767,33.033,14.224,26.864,-0.036,-0.003,0.002,0.002
29.500,17345.174,-6074.607,0.000,6019.025,32.058,-2109.556,91.468,0.000,0.000,0.008,0.003,6028.165,33.831,-2108.137,100.707,-0.539,-0.366,2809.237,104.041,358.790,30.496,14.185,24.730,-0.030,0.000,0.002,0.002,6028.165,33.831,-2108.137,100.707,-0.539,-0.366,2809.237,104.041,358.790,30.496,14.185,24.730,-0.030,0.000,0.002,0.002
