Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
25.000,16889.293,-7246.218,0.000,5860.809,38.233,-2515.909,89.063,0.000,0.000,0.006,-0.001,5875.809,57.349,-2500.909,133.595,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,5875.809,57.349,-2500.909,133.595,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
25.500,16943.892,-7117.614,0.000,5879.756,37.555,-2471.305,89.351,0.000,0.000,0.007,0.001,5888.077,54.709,-2471.677,131.527,0.320,-1.049,593.559,100.497,108.268,97.957,1.749,97.451,-0.196,-0.070,0.016,0.016,5888.077,54.709,-2471.677,131.527,0.320,-1.049,593.559,100.497,108.268,97.957,1.749,97.451,-0.196,-0.070,0.016,0.016
26.000,16997.511,-6988.599,0.000,5898.364,36.875,-2426.559,89.634,0.000,0.000,0.007,0.002,5908.246,48.057,-2427.033,118.847,-0.387,-1.165,704.686,97.545,122.038,72.377,1.713,67.844,-0.109,0.001,0.002,0.002,5908.246,48.057,-2427.033,118.847,-0.387,-1.165,704.686,97.545,122.038,72.377,1.713,67.844,-0.109,0.001,0.002,0.002
26.500,17050.148,-6859.181,0.000,5916.631,36.193,-2381.672,89.912,0.000,0.000,0.005,0.002,5926.847,44.020,-2382.721,111.791,-0.375,-0.866,860.767,96.912,142.000,57.938,1.709,51.688,-0.079,-0.003,0.002,0.002,5926.847,44.020,-2382.721,111.791,-0.375,-0.866,860.767,96.912,142.000,57.938,1.709,51.688,-0.079,-0.003,0.002,0.002
27.000,17101.799,-6729.366,0.000,5934.556,35.509,-2336.648,90.184,0.000,0.000,0.008,-0.000,5945.041,41.418,-2337.230,107.955,-0.020,-0.544,1063.059,97.338,167.155,48.985,1.706,42.075,-0.054,-0.004,0.002,0.002,5945.041,41.418,-2337.230,107.955,-0.020,-0.544,1063.059,97.338,167.155,48.985,1.706,42.075,-0.054,-0.004,0.002,0.002
27.500,17152.463,-6599.161,0.000,5952.139,34.822,-2291.489,90.451,0.000,0.000,0.007,0.001,5962.436,39.332,-2292.219,105.211,-0.234,-0.524,1312.645,98.274,196.888,42.828,1.704,35.762,-0.047,-0.000,0.001,0.001,5962.436,39.332,-2292.219,105.211,-0.234,-0.524,1312.645,98.274,196.888,42.828,1.704,35.762,-0.047,-0.000,0.001,0.001
28.000,17202.134,-6468.576,0.000,5969.379,34.134,-2246.198,90.713,0.000,0.000,0.010,-0.002,5979.660,37.716,-2246.185,103.548,0.329,-0.275,1610.837,99.495,230.352,38.280,1.703,31.337,-0.034,-0.004,0.001,0.001,5979.660,37.716,-2246.185,103.548,0.329,-0.275,1610.837,99.495,230.352,38.280,1.703,31.337,-0.034,-0.004,0.001,0.001
28.500,17250.812,-6337.617,0.000,5986.273,33.444,-2200.777,90.970,0.000,0.000,0.012,-0.002,5996.391,36.297,-2200.106,102.310,-0.466,-0.452,1958.631,100.881,267.063,34.757,1.702,28.091,-0.030,-0.003,0.001,0.001,5996.391,36.297,-2200.106,102.310,-0.466,-0.452,1958.631,100.881,267.063,34.757,1.702,28.091,-0.030,-0.003,0.001,0.001
29.000,17298.493,-6206.291,0.000,6002.822,32.752,-2155.229,91.221,0.000,0.000,0.007,-0.006,6012.243,34.908,-2155.307,101.034,1.143,-0.002,2357.249,102.372,306.287,31.923,1.702,25.630,-0.033,-0.009,0.001,0.001,6012.243,34.908,-2155.307,101.034,1.143,-0.002,2357.249,102.372,306.287,31.923,1.702,25.630,-0.033,-0.009,0.001,0.001
29.500,17345.174,-6074.607,0.000,6019.025,32.058,-2109.556,91.468,0.000,0.000,0.007,-0.002,6028.037,33.728,-2109.391,100.260,-0.326,-0.334,2808.029,103.935,347.157,29.577,1.701,23.717,-0.024,-0.007,0.001,0.001,6028.037,33.728,-2109.391,100.260,-0.326,-0.334,2808.029,103.935,347.157,29.577,1.701,23.717,-0.024,-0.007,0.001,0.001
30.000,17390.852,-5942.571,0.000,6034.880,31.362,-2063.762,91.709,0.000,0.000,0.009,0.002,6043.526,32.647,-2063.017,99.720,-0.402,-0.315,3311.710,105.533,389.489,27.603,1.701,22.201,-0.020,-0.000,0.001,0.001,6043.526,32.647,-2063.017,99.720,-0.402,-0.315,3311.710,105.533,389.489,27.603,1.701,22.201,-0.020,-0.000,0.001,0.001
30.500,17435.526,-5810.193,0.000,6050.386,30.664,-2017.848,91.944,0.000,0.000,0.009,-0.001,6058.528,31.602,-2016.816,99.235,0.258,-0.152,3869.421,107.155,432.648,25.912,1.701,20.981,-0.019,-0.004,0.001,0.001,6058.528,31.602,-2016.816,99.235,0.258,-0.152,3869.421,107.155,432.648,25.912,1.701,20.981,-0.019,-0.004,0.001,0.001
31.000,17479.192,-5677.478,0.000,6065.543,29.965,-1971.819,92.175,0.000,0.000,0.004,-0.005,6072.842,30.548,-1971.558,98.643,-0.986,-0.373,4482.331,108.792,475.948,24.445,1.701,19.987,-0.023,-0.006,0.001,0.001,6072.842,30.548,-1971.558,98.643,-0.986,-0.373,4482.331,108.792,475.948,24.445,1.701,19.987,-0.023,-0.006,0.001,0.001
31.500,17521.848,-5544.435,0.000,6080.350,29.263,-1925.675,92.400,0.000,0.000,0.007,-0.000,6087.236,29.623,-1924.650,98.430,-0.024,-0.165,5151.683,110.438,518.608,23.157,1.701,19.169,-0.013,-0.006,0.001,0.001,6087.236,29.623,-1924.650,98.430,-0.024,-0.165,5151.683,110.438,518.608,23.157,1.701,19.169,-0.013,-0.006,0.001,0.001
32.000,17563.491,-5411.072,0.000,6094.806,28.560,-1879.420,92.619,0.000,0.000,0.008,0.003,6101.157,28.708,-1877.854,98.222,-0.638,-0.258,5877.817,112.075,560.904,22.028,1.701,18.491,-0.013,0.003,0.001,0.001,6101.157,28.708,-1877.854,98.222,-0.638,-0.258,5877.817,112.075,560.904,22.028,1.701,18.491,-0.013,0.003,0.001,0.001
32.500,17604.119,-5277.397,0.000,6108.911,27.856,-1833.056,92.834,0.000,0.000,0.006,0.002,6114.553,27.791,-1831.536,97.958,-0.448,-0.204,6662.113,113.706,601.888,21.028,1.701,17.924,-0.015,-0.002,0.001,0.001,6114.553,27.791,-1831.536,97.958,-0.448,-0.204,6662.113,113.706,601.888,21.028,1.701,17.924,-0.015,-0.002,0.001,0.001
33.000,17643.729,-5143.416,0.000,6122.662,27.150,-1786.587,93.043,0.000,0.000,0.008,-0.005,6127.752,26.924,-1784.514,97.836,1.018,0.053,7505.672,115.331,640.947,20.140,1.701,17.447,-0.010,-0.008,0.001,0.001,6127.752,26.924,-1784.514,97.836,1.018,0.053,7505.672,115.331,640.947,20.140,1.701,17.447,-0.010,-0.008,0.001,0.001
33.500,17682.320,-5009.138,0.000,6136.060,26.442,-1740.015,93.246,0.000,0.000,0.008,0.002,6140.484,26.060,-1737.638,97.700,0.378,-0.054,8408.994,116.938,678.119,19.355,1.701,17.045,-0.011,-0.003,0.001,0.001,6140.484,26.060,-1737.638,97.700,0.378,-0.054,8408.994,116.938,678.119,19.355,1.701,17.045,-0.011,-0.003,0.001,0.001
34.000,17719.889,-4874.570,0.000,6149.104,25.733,-1693.342,93.444,0.000,0.000,0.013,0.001,6153.068,25.243,-1689.809,97.725,0.288,-0.063,9373.274,118.531,712.701,18.659,1.701,16.704,-0.005,-0.000,0.001,0.001,6153.068,25.243,-1689.809,97.725,0.288,-0.063,9373.274,118.531,712.701,18.659,1.701,16.704,-0.005,-0.000,0.001,0.001
34.500,17756.434,-4739.721,0.000,6161.793,25.022,-1646.571,93.637,0.000,0.000,0.004,0.002,6164.620,24.338,-1644.492,97.356,0.434,-0.036,10398.904,120.101,744.864,18.048,1.701,16.414,-0.018,0.001,0.001,0.001,6164.620,24.338,-1644.492,97.356,0.434,-0.036,10398.904,120.101,744.864,18.048,1.701,16.414,-0.018,0.001,0.001,0.001
