Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
30.000,13223.358,-1775.077,12639.138,4529.954,0.665,-20.206,-0.677,4489.765,-0.674,2.084,2.006,4544.954,0.997,-5.206,-1.015,4504.765,-1.010,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,4544.954,0.997,-5.206,-1.015,4504.765,-1.010,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
31.000,13343.267,-1541.553,12543.394,4530.618,0.664,-20.883,-0.677,4489.092,-0.674,1.621,2.002,4544.827,0.851,-20.128,-2.811,4502.329,-1.195,481.938,96.122,153.452,90.727,426.125,95.189,-0.068,-0.046,0.022,0.022,4544.827,0.851,-20.128,-2.811,4502.329,-1.195,481.938,96.122,153.452,90.727,426.125,95.189,-0.068,-0.046,0.022,0.022
32.000,13460.091,-1307.673,12444.751,4531.283,0.664,-21.560,-0.677,4488.418,-0.674,1.160,1.997,4545.494,0.781,-23.447,-2.983,4501.309,-1.140,666.545,86.678,126.294,67.995,558.910,82.508,-0.004,-0.000,0.011,0.011,4545.494,0.781,-23.447,-2.983,4501.309,-1.140,666.545,86.678,126.294,67.995,558.910,82.508,-0.004,-0.000,0.011,0.011
33.000,13573.804,-1073.490,12343.232,4531.947,0.664,-22.237,-0.677,4487.744,-0.674,0.700,1.989,4546.388,0.845,-24.927,-2.470,4499.979,-1.183,987.379,78.234,125.784,45.728,785.094,69.604,0.010,0.005,0.011,0.011,4546.388,0.845,-24.927,-2.470,4499.979,-1.183,987.379,78.234,125.784,45.728,785.094,69.604,0.010,0.005,0.011,0.011
34.000,13684.379,-839.060,12238.859,4532.610,0.664,-22.914,-0.677,4487.070,-0.674,0.240,1.984,4547.081,0.838,-25.338,-1.869,4498.625,-1.198,1436.630,73.686,121.794,31.362,1081.645,60.828,0.013,0.008,0.011,0.010,4547.081,0.838,-25.338,-1.869,4498.625,-1.198,1436.630,73.686,121.794,31.362,1081.645,60.828,0.013,0.008,0.011,0.010
35.000,13791.790,-604.435,12131.656,4533.274,0.664,-23.591,-0.678,4486.396,-0.674,0.223,1.981,4547.363,0.729,-25.585,-1.470,4497.626,-1.123,2017.287,71.800,114.468,23.001,1440.242,55.216,-0.009,0.010,0.010,0.010,4547.363,0.729,-25.585,-1.470,4497.626,-1.123,2017.287,71.800,114.468,23.001,1440.242,55.216,-0.009,0.010,0.010,0.010
36.000,13896.013,-369.670,12021.650,4533.938,0.663,-24.269,-0.678,4485.722,-0.674,0.683,1.975,4547.488,0.639,-25.481,-1.139,4496.249,-1.143,2728.392,71.222,105.957,18.089,1849.849,51.325,-0.010,0.008,0.009,0.009,4547.488,0.639,-25.481,-1.139,4496.249,-1.143,2728.392,71.222,105.957,18.089,1849.849,51.325,-0.010,0.008,0.009,0.009
37.000,13997.024,-134.821,11908.864,4534.601,0.663,-24.947,-0.678,4485.048,-0.674,1.143,1.971,4547.354,0.531,-25.326,-0.902,4494.851,-1.159,3561.550,71.139,98.070,15.116,2295.223,48.266,-0.008,0.008,0.009,0.009,4547.354,0.531,-25.326,-0.902,4494.851,-1.159,3561.550,71.139,98.070,15.116,2295.223,48.266,-0.008,0.008,0.009,0.009
38.000,14094.800,100.061,11793.325,4535.264,0.663,-25.625,-0.678,4484.374,-0.674,1.605,1.963,4547.448,0.476,-25.693,-0.814,4493.512,-1.173,4499.930,71.092,92.882,13.287,2757.171,45.560,-0.003,0.004,0.009,0.008,4547.448,0.476,-25.693,-0.814,4493.512,-1.173,4499.930,71.092,92.882,13.287,2757.171,45.560,-0.003,0.004,0.009,0.008
39.000,14189.316,334.919,11675.060,4535.927,0.663,-26.303,-0.678,4483.700,-0.674,2.063,1.954,4547.388,0.425,-26.032,-0.744,4491.665,-1.250,5518.226,70.816,93.022,12.182,3214.233,42.956,-0.005,0.001,0.008,0.008,4547.388,0.425,-26.032,-0.744,4491.665,-1.250,5518.226,70.816,93.022,12.182,3214.233,42.956,-0.005,0.001,0.008,0.008
