Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,-0.002,-0.001,4524.927,102.802,-4494.927,102.802,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,4524.927,102.802,-4494.927,102.802,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
0.250,13044.607,-12945.815,0.000,4527.028,68.274,-4492.761,68.795,0.000,0.000,-0.001,-0.002,4531.676,101.525,-4488.050,102.689,2.749,-0.450,410.954,100.645,409.843,100.635,139.527,100.278,-0.160,-0.074,0.020,0.020,4531.676,101.525,-4488.050,102.689,2.749,-0.450,410.954,100.645,409.843,100.635,139.527,100.278,-0.160,-0.074,0.020,0.020
0.500,13093.721,-12896.138,0.000,4544.064,68.012,-4475.530,69.054,0.000,0.000,-0.000,0.001,4550.183,99.903,-4469.388,102.186,1.296,-0.654,424.316,100.479,418.905,100.370,93.105,98.838,-0.088,-0.012,0.009,0.009,4550.183,99.903,-4469.388,102.186,1.296,-0.654,424.316,100.479,418.905,100.370,93.105,98.838,-0.088,-0.012,0.009,0.009
0.750,13142.646,-12846.274,0.000,4561.034,67.749,-4458.234,69.311,0.000,0.000,-0.000,0.001,4568.584,97.696,-4450.714,101.029,0.658,-0.772,462.577,99.355,451.776,98.951,82.683,95.278,-0.096,-0.005,0.008,0.008,4568.584,97.696,-4450.714,101.029,0.658,-0.772,462.577,99.355,451.776,98.951,82.683,95.278,-0.096,-0.005,0.008,0.008
1.000,13191.381,-12796.225,0.000,4577.938,67.485,-4440.874,69.568,0.000,0.000,0.004,0.001,4586.517,95.202,-4432.380,99.501,0.306,-0.819,512.308,97.609,494.297,96.643,80.552,90.199,-0.099,-0.002,0.007,0.007,4586.517,95.202,-4432.380,99.501,0.306,-0.819,512.308,97.609,494.297,96.643,80.552,90.199,-0.099,-0.002,0.007,0.007
1.250,13239.925,-12745.991,0.000,4594.777,67.221,-4423.450,69.824,0.000,0.000,-0.002,-0.001,4603.297,92.453,-4415.125,97.621,-0.003,-0.852,570.583,95.688,543.153,93.893,80.339,84.494,-0.108,-0.001,0.007,0.007,4603.297,92.453,-4415.125,97.621,-0.003,-0.852,570.583,95.688,543.153,93.893,80.339,84.494,-0.108,-0.001,0.007,0.007
1.500,13288.278,-12695.573,0.000,4611.549,66.955,-4405.962,70.079,0.000,0.000,-0.002,-0.000,4619.753,89.852,-4398.044,95.817,-0.088,-0.812,636.797,93.911,597.379,91.059,80.352,78.845,-0.103,-0.001,0.007,0.007,4619.753,89.852,-4398.044,95.817,-0.088,-0.812,636.797,93.911,597.379,91.059,80.352,78.845,-0.103,-0.001,0.007,0.007
1.750,13336.438,-12644.972,0.000,4628.254,66.688,-4388.411,70.333,0.000,0.000,-0.001,0.002,4636.054,87.488,-4380.947,94.196,-0.382,-0.839,710.945,92.433,656.758,88.352,80.235,73.615,-0.096,0.001,0.007,0.007,4636.054,87.488,-4380.947,94.196,-0.382,-0.839,710.945,92.433,656.758,88.352,80.235,73.615,-0.096,0.001,0.007,0.007
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,0.002,-0.000,4652.424,85.415,-4363.575,92.834,-0.305,-0.756,793.200,91.297,721.243,85.862,79.987,68.939,-0.087,-0.003,0.007,0.007,4652.424,85.415,-4363.575,92.834,-0.305,-0.756,793.200,91.297,721.243,85.862,79.987,68.939,-0.087,-0.003,0.007,0.007
2.250,13432.181,-12543.222,0.000,4661.464,66.152,-4353.118,70.838,0.000,0.000,-0.004,0.002,4668.218,83.417,-4346.668,91.499,-0.447,-0.742,883.762,90.490,790.822,83.610,79.666,64.827,-0.088,-0.000,0.007,0.007,4668.218,83.417,-4346.668,91.499,-0.447,-0.742,883.762,90.490,790.822,83.610,79.666,64.827,-0.088,-0.000,0.007,0.007
2.500,13479.762,-12492.074,0.000,4677.969,65.882,-4335.377,71.088,0.000,0.000,0.004,-0.001,4684.574,81.788,-4328.925,90.534,-0.251,-0.641,982.911,89.979,865.388,81.583,79.321,61.233,-0.072,-0.004,0.007,0.007,4684.574,81.788,-4328.925,90.534,-0.251,-0.641,982.911,89.979,865.388,81.583,79.321,61.233,-0.072,-0.004,0.007,0.007
2.750,13527.148,-12440.746,0.000,4694.405,65.612,-4317.574,71.338,0.000,0.000,0.003,0.002,4700.658,80.259,-4311.303,89.646,-0.386,-0.635,1090.789,89.721,944.960,79.761,78.982,58.092,-0.070,-0.000,0.007,0.007,4700.658,80.259,-4311.303,89.646,-0.386,-0.635,1090.789,89.721,944.960,79.761,78.982,58.092,-0.070,-0.000,0.007,0.007
3.000,13574.339,-12389.239,0.000,4710.774,65.340,-4299.708,71.587,0.000,0.000,-0.002,0.001,4716.339,78.784,-4293.971,88.783,-0.402,-0.600,1207.655,89.681,1029.418,78.115,78.664,55.343,-0.071,-0.002,0.007,0.007,4716.339,78.784,-4293.971,88.783,-0.402,-0.600,1207.655,89.681,1029.418,78.115,78.664,55.343,-0.071,-0.002,0.007,0.007
3.250,13621.333,-12337.552,0.000,4727.075,65.068,-4281.780,71.835,0.000,0.000,-0.001,0.000,4732.107,77.467,-4276.361,88.071,-0.318,-0.546,1333.780,89.826,1118.619,76.620,78.372,52.927,-0.064,-0.002,0.007,0.007,4732.107,77.467,-4276.361,88.071,-0.318,-0.546,1333.780,89.826,1118.619,76.620,78.372,52.927,-0.064,-0.002,0.007,0.007
3.500,13668.131,-12285.687,0.000,4743.308,64.794,-4263.791,72.081,0.000,0.000,0.000,0.003,4747.946,76.282,-4258.489,87.488,-0.514,-0.559,1469.355,90.130,1212.503,75.254,78.108,50.795,-0.058,0.001,0.007,0.007,4747.946,76.282,-4258.489,87.488,-0.514,-0.559,1469.355,90.130,1212.503,75.254,78.108,50.795,-0.058,0.001,0.007,0.007
3.750,13714.731,-12233.645,0.000,4759.472,64.520,-4245.740,72.327,0.000,0.000,0.000,0.002,4763.697,75.177,-4240.543,86.975,-0.563,-0.540,1614.585,90.568,1310.992,74.000,77.870,48.906,-0.055,-0.001,0.007,0.007,4763.697,75.177,-4240.543,86.975,-0.563,-0.540,1614.585,90.568,1310.992,74.000,77.870,48.906,-0.055,-0.001,0.007,0.007
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,-0.001,-0.000,4779.329,74.134,-4222.565,86.516,-0.366,-0.470,1769.704,91.122,1413.975,72.841,77.657,47.226,-0.053,-0.004,0.007,0.007,4779.329,74.134,-4222.565,86.516,-0.366,-0.470,1769.704,91.122,1413.975,72.841,77.657,47.226,-0.053,-0.004,0.007,0.007
4.250,13807.336,-12129.030,0.000,4791.595,63.969,-4209.454,72.815,0.000,0.000,0.001,-0.000,4794.992,73.176,-4204.375,86.138,-0.236,-0.420,1934.955,91.778,1521.331,71.763,77.466,45.726,-0.048,-0.003,0.007,0.007,4794.992,73.176,-4204.375,86.138,-0.236,-0.420,1934.955,91.778,1521.331,71.763,77.466,45.726,-0.048,-0.003,0.007,0.007
4.500,13853.340,-12076.460,0.000,4807.552,63.692,-4191.220,73.058,0.000,0.000,0.001,0.000,4810.578,72.271,-4186.107,85.808,-0.227,-0.398,2110.545,92.522,1632.978,70.756,77.295,44.382,-0.046,-0.001,0.007,0.007,4810.578,72.271,-4186.107,85.808,-0.227,-0.398,2110.545,92.522,1632.978,70.756,77.295,44.382,-0.046,-0.001,0.007,0.007
4.750,13899.143,-12023.715,0.000,4823.440,63.414,-4172.925,73.299,0.000,0.000,-0.001,-0.004,4825.931,71.383,-4167.956,85.482,0.164,-0.304,2296.714,93.343,1748.802,69.811,77.140,43.173,-0.046,-0.005,0.007,0.007,4825.931,71.383,-4167.956,85.482,0.164,-0.304,2296.714,93.343,1748.802,69.811,77.140,43.173,-0.046,-0.005,0.007,0.007
5.000,13944.746,-11970.796,0.000,4839.259,63.135,-4154.571,73.539,0.000,0.000,-0.002,-0.003,4841.251,70.546,-4149.681,85.204,-0.240,-0.365,2493.737,94.233,1868.646,68.918,77.001,42.084,-0.043,-0.004,0.007,0.007,4841.251,70.546,-4149.681,85.204,-0.240,-0.365,2493.737,94.233,1868.646,68.918,77.001,42.084,-0.043,-0.004,0.007,0.007
5.250,13990.147,-11917.705,0.000,4855.008,62.855,-4136.156,73.779,0.000,0.000,-0.000,-0.000,4856.610,69.769,-4131.188,84.986,-0.182,-0.338,2701.832,95.185,1992.420,68.072,76.876,41.098,-0.039,-0.002,0.007,0.007,4856.610,69.769,-4131.188,84.986,-0.182,-0.338,2701.832,95.185,1992.420,68.072,76.876,41.098,-0.039,-0.002,0.007,0.007
5.500,14035.346,-11864.441,0.000,4870.686,62.574,-4117.681,74.017,0.000,0.000,-0.000,0.001,4871.888,69.023,-4112.626,84.795,-0.239,-0.333,2921.200,96.191,2120.050,67.266,76.763,40.205,-0.038,-0.000,0.007,0.007,4871.888,69.023,-4112.626,84.795,-0.239,-0.333,2921.200,96.191,2120.050,67.266,76.763,40.205,-0.038,-0.000,0.007,0.007
5.750,14080.342,-11811.006,0.000,4886.295,62.292,-4099.147,74.254,0.000,0.000,0.000,-0.001,4887.116,68.311,-4093.958,84.636,-0.119,-0.298,3152.090,97.246,2251.410,66.497,76.660,39.394,-0.035,-0.002,0.007,0.007,4887.116,68.311,-4093.958,84.636,-0.119,-0.298,3152.090,97.246,2251.410,66.497,76.660,39.394,-0.035,-0.002,0.007,0.007
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,0.004,-0.001,4902.451,67.657,-4074.979,84.541,-0.029,-0.270,3394.734,98.345,2386.394,65.760,76.567,38.656,-0.031,-0.002,0.007,0.007,4902.451,67.657,-4074.979,84.541,-0.029,-0.270,3394.734,98.345,2386.394,65.760,76.567,38.656,-0.031,-0.002,0.007,0.007
6.250,14169.724,-11703.625,0.000,4917.299,61.726,-4061.902,74.725,0.000,0.000,0.002,0.001,4917.532,66.995,-4056.157,84.426,-0.153,-0.279,3649.316,99.484,2524.951,65.052,76.483,37.983,-0.032,0.001,0.007,0.007,4917.532,66.995,-4056.157,84.426,-0.153,-0.279,3649.316,99.484,2524.951,65.052,76.483,37.983,-0.032,0.001,0.007,0.007
6.500,14214.108,-11649.680,0.000,4932.696,61.442,-4043.192,74.959,0.000,0.000,0.001,-0.001,4932.436,66.338,-4037.400,84.307,-0.024,-0.246,3916.160,100.659,2666.869,64.368,76.406,37.368,-0.033,-0.002,0.007,0.007,4932.436,66.338,-4037.400,84.307,-0.024,-0.246,3916.160,100.659,2666.869,64.368,76.406,37.368,-0.033,-0.002,0.007,0.007
6.750,14258.287,-11595.567,0.000,4948.020,61.157,-4024.423,75.192,0.000,0.000,0.004,-0.003,4947.459,65.733,-4018.319,84.248,0.206,-0.199,4195.543,101.869,2811.996,63.706,76.336,36.806,-0.028,-0.003,0.007,0.007,4947.459,65.733,-4018.319,84.248,0.206,-0.199,4195.543,101.869,2811.996,63.706,76.336,36.806,-0.028,-0.003,0.007,0.007
7.000,14302.259,-11541.286,0.000,4963.274,60.871,-4005.596,75.424,0.000,0.000,0.004,0.002,4962.352,65.137,-3999.240,84.192,0.309,-0.174,4487.613,103.109,2960.321,63.064,76.272,36.291,-0.028,0.002,0.007,0.007,4962.352,65.137,-3999.240,84.192,0.309,-0.174,4487.613,103.109,2960.321,63.064,76.272,36.291,-0.028,0.002,0.007,0.007
