Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
30.000,13223.358,-1775.077,12639.138,4529.954,0.665,-20.206,-0.677,4489.765,-0.674,2.080,2.006,4544.954,0.997,-5.206,-1.015,4504.765,-1.010,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,4544.954,0.997,-5.206,-1.015,4504.765,-1.010,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
31.000,13343.267,-1541.553,12543.394,4530.618,0.664,-20.883,-0.677,4489.092,-0.674,1.621,2.002,4544.866,0.856,-20.086,-2.805,4502.294,-1.199,481.938,96.122,153.452,90.727,426.125,95.189,-0.068,-0.046,0.022,0.022,4544.866,0.856,-20.086,-2.805,4502.294,-1.199,481.938,96.122,153.452,90.727,426.125,95.189,-0.068,-0.046,0.022,0.022
32.000,13460.091,-1307.673,12444.751,4531.283,0.664,-21.560,-0.677,4488.418,-0.674,1.164,1.997,4545.744,0.861,-23.009,-2.846,4501.057,-1.213,666.542,86.678,126.294,67.995,558.913,82.509,-0.001,-0.001,0.011,0.011,4545.744,0.861,-23.009,-2.846,4501.057,-1.213,666.542,86.678,126.294,67.995,558.913,82.509,-0.001,-0.001,0.011,0.011
33.000,13573.804,-1073.490,12343.232,4531.947,0.664,-22.237,-0.677,4487.744,-0.674,0.698,1.992,4546.306,0.768,-24.832,-2.496,4500.208,-1.077,987.343,78.233,125.794,45.731,785.139,69.605,0.005,0.007,0.011,0.011,4546.306,0.768,-24.832,-2.496,4500.208,-1.077,987.343,78.233,125.794,45.731,785.139,69.605,0.005,0.007,0.011,0.011
34.000,13684.379,-839.060,12238.859,4532.610,0.664,-22.914,-0.677,4487.070,-0.674,0.239,1.986,4546.917,0.759,-25.333,-1.913,4498.979,-1.088,1436.640,73.686,121.799,31.362,1081.617,60.827,0.013,0.008,0.011,0.010,4546.917,0.759,-25.333,-1.913,4498.979,-1.088,1436.640,73.686,121.799,31.362,1081.617,60.827,0.013,0.008,0.011,0.010
35.000,13791.790,-604.435,12131.656,4533.274,0.664,-23.591,-0.678,4486.396,-0.674,0.223,1.978,4547.454,0.738,-25.740,-1.544,4497.553,-1.141,2017.339,71.799,114.467,23.000,1440.123,55.216,-0.011,0.006,0.010,0.010,4547.454,0.738,-25.740,-1.544,4497.553,-1.141,2017.339,71.799,114.467,23.000,1440.123,55.216,-0.011,0.006,0.010,0.010
36.000,13896.013,-369.670,12021.650,4533.938,0.663,-24.269,-0.678,4485.722,-0.674,0.685,1.979,4547.298,0.580,-25.580,-1.185,4496.704,-1.051,2728.363,71.219,105.953,18.088,1849.797,51.326,-0.008,0.013,0.009,0.009,4547.298,0.580,-25.580,-1.185,4496.704,-1.051,2728.363,71.219,105.953,18.088,1849.797,51.326,-0.008,0.013,0.009,0.009
37.000,13997.024,-134.821,11908.864,4534.601,0.663,-24.947,-0.678,4485.048,-0.674,1.144,1.966,4547.483,0.548,-25.785,-1.007,4494.736,-1.186,3561.536,71.135,98.066,15.114,2294.974,48.267,-0.009,0.001,0.009,0.009,4547.483,0.548,-25.785,-1.007,4494.736,-1.186,3561.536,71.135,98.066,15.114,2294.974,48.267,-0.009,0.001,0.009,0.009
38.000,14094.800,100.061,11793.325,4535.264,0.663,-25.625,-0.678,4484.374,-0.674,1.603,1.959,4547.422,0.486,-25.977,-0.874,4492.719,-1.290,4499.664,71.085,92.880,13.287,2756.991,45.561,-0.008,0.002,0.009,0.008,4547.422,0.486,-25.977,-0.874,4492.719,-1.290,4499.664,71.085,92.880,13.287,2756.991,45.561,-0.008,0.002,0.009,0.008
39.000,14189.316,334.919,11675.060,4535.927,0.663,-26.303,-0.678,4483.700,-0.674,2.066,1.957,4547.418,0.416,-26.364,-0.800,4491.829,-1.225,5517.873,70.811,93.032,12.182,3214.446,42.959,-0.001,0.007,0.008,0.008,4547.418,0.416,-26.364,-0.800,4491.829,-1.225,5517.873,70.811,93.032,12.182,3214.446,42.959,-0.001,0.007,0.008,0.008
