Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA
30.000,17390.852,-5942.571,0.000,6034.880,31.362,-2063.762,91.709,0.000,0.000,0.011,0.001,6049.880,47.043,-2048.762,137.563,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000,6049.880,47.043,-2048.762,137.563,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,0.000,0.000,1.000,1.000
31.000,17479.192,-5677.478,0.000,6065.543,29.965,-1971.819,92.175,0.000,0.000,0.008,0.002,6078.912,41.921,-1960.313,132.134,3.042,-1.543,712.913,100.148,205.312,91.385,142.889,90.499,-0.306,-0.070,0.022,0.022,6078.912,41.921,-1960.313,132.134,3.042,-1.543,712.913,100.148,205.312,91.385,142.889,90.499,-0.306,-0.070,0.022,0.022
32.000,17563.491,-5411.072,0.000,6094.806,28.560,-1879.420,92.619,0.000,0.000,0.009,0.000,6110.035,35.979,-1860.830,121.714,0.537,-1.870,1034.724,99.879,205.593,69.842,113.255,67.523,-0.254,-0.007,0.011,0.011,6110.035,35.979,-1860.830,121.714,0.537,-1.870,1034.724,99.879,205.593,69.842,113.255,67.523,-0.254,-0.007,0.011,0.011
33.000,17643.729,-5143.416,0.000,6122.662,27.150,-1786.587,93.043,0.000,0.000,0.010,-0.001,6137.102,31.050,-1768.599,112.085,-0.365,-1.536,1553.401,100.415,240.408,48.252,111.659,45.220,-0.231,-0.007,0.011,0.011,6137.102,31.050,-1768.599,112.085,-0.365,-1.536,1553.401,100.415,240.408,48.252,111.659,45.220,-0.231,-0.007,0.011,0.011
34.000,17719.889,-4874.570,0.000,6149.104,25.733,-1693.342,93.444,0.000,0.000,0.010,0.000,6161.800,27.575,-1678.399,106.054,-0.768,-1.201,2272.511,101.819,278.459,33.853,108.336,30.947,-0.176,-0.009,0.010,0.010,6161.800,27.575,-1678.399,106.054,-0.768,-1.201,2272.511,101.819,278.459,33.853,108.336,30.947,-0.176,-0.009,0.010,0.010
35.000,17791.953,-4604.598,0.000,6174.126,24.310,-1599.706,93.825,0.000,0.000,0.009,-0.000,6184.959,24.996,-1587.448,102.662,-0.795,-0.909,3197.551,103.624,316.570,25.098,103.557,22.702,-0.127,-0.009,0.010,0.010,6184.959,24.996,-1587.448,102.662,-0.795,-0.909,3197.551,103.624,316.570,25.098,103.557,22.702,-0.127,-0.009,0.010,0.010
36.000,17859.904,-4333.561,0.000,6197.722,22.881,-1505.700,94.183,0.000,0.000,0.008,-0.002,6206.707,22.872,-1495.416,100.721,-0.502,-0.653,4333.672,105.549,353.328,19.663,99.035,17.873,-0.094,-0.010,0.009,0.009,6222.334,25.045,-1496.510,100.984,-4.730,-1.552,1194.841,46.007,112.299,18.946,137.734,19.535,-0.094,-0.010,0.009,0.009
37.000,17923.726,-4061.522,0.000,6219.886,21.447,-1411.346,94.520,0.000,0.000,0.009,0.000,6227.089,20.993,-1402.244,99.604,-0.572,-0.544,5685.605,107.468,386.563,16.144,95.340,14.920,-0.069,-0.005,0.009,0.009,6238.214,22.388,-1403.618,99.637,-3.564,-1.062,1076.882,37.742,105.037,15.670,124.668,15.756,-0.085,-0.030,0.010,0.010
38.000,17983.404,-3788.544,0.000,6240.615,20.009,-1316.667,94.835,0.000,0.000,0.008,-0.003,6246.009,19.239,-1308.466,98.894,-0.217,-0.394,7257.625,109.324,414.001,13.794,92.494,13.034,-0.055,-0.008,0.008,0.008,6254.703,20.262,-1309.927,98.848,-2.695,-0.755,1037.337,32.604,100.276,13.589,116.885,13.536,-0.062,-0.025,0.009,0.009
39.000,18038.926,-3514.691,0.000,6259.902,18.565,-1221.684,95.128,0.000,0.000,0.008,-0.000,6263.496,17.567,-1214.119,98.438,-0.289,-0.345,9053.617,111.087,433.596,12.215,90.360,11.786,-0.044,-0.003,0.008,0.008,6271.803,18.504,-1215.847,98.349,-2.229,-0.577,1039.338,29.080,96.840,12.205,111.428,12.119,-0.046,-0.017,0.009,0.009
