Time    ,x_sat      ,y_sat      ,z_sat ,True_x    ,True_vx ,True_y    ,True_vy ,True_z ,True_vz ,InTrackAngle ,CrossTrackAngle ,Est_x     ,Est_vx  ,Est_y     ,Est_vy  ,Est_z  ,Est_vz ,Cov_xx      ,Cov_vxvx ,Cov_yy      ,Cov_vyvy ,Cov_zz ,Cov_vzvz ,Innovation_ITA ,Innovation_CTA ,InnovationCov_ITA ,InnovationCov_CTA ,DDF_Est_x ,DDF_Est_vx ,DDF_Est_y ,DDF_Est_vy ,DDF_Est_z ,DDF_Est_vz ,DDF_Cov_xx ,DDF_Cov_vxvx ,DDF_Cov_yy ,DDF_Cov_vyvy ,DDF_Cov_zz ,DDF_Cov_vzvz ,DDF_Innovation_ITA ,DDF_Innovation_CTA ,DDF_InnovationCov_ITA ,DDF_InnovationCov_CTA
  0.000 ,12995.305  ,-12995.305 ,0.000 ,4509.927  ,68.535  ,-4509.927 ,68.535  , 0.000 ,  0.000 ,-0.003       ,0.000           ,4524.927  ,102.802 ,-4494.927 ,102.802 ,15.000 ,0.000  ,     50.000 , 100.000 ,     50.000 , 100.000 ,50.000 , 100.000 ,0.000          ,0.000          ,            1.000 ,            1.000 ,4524.927  ,102.802    ,-4494.927 ,102.802    ,15.000    ,0.000      ,    50.000 ,     100.000 ,    50.000 ,     100.000 ,    50.000 ,     100.000 ,0.000              ,0.000              ,                1.000 ,                1.000
  0.500 ,13093.721  ,-12896.138 ,0.000 ,4544.064  ,68.012  ,-4475.530 ,69.054  , 0.000 ,  0.000 ,0.001        ,0.000           ,4544.193  ,89.033  ,-4475.292 ,90.998  ,0.039  ,-5.985 ,     63.067 ,  91.330 ,     62.114 ,  90.723 , 0.175 ,  81.039 ,-0.216         ,-0.072         ,            0.003 ,            0.003 ,4544.193  ,89.033     ,-4475.292 ,90.998     ,0.039     ,-5.985     ,    63.067 ,      91.330 ,    62.114 ,      90.723 ,     0.175 ,      81.039 ,-0.216             ,-0.072             ,                0.003 ,                0.003
  1.000 ,13191.381  ,-12796.225 ,0.000 ,4577.938  ,67.485  ,-4440.874 ,69.568  , 0.000 ,  0.000 ,0.000        ,0.002           ,4577.980  ,82.094  ,-4440.719 ,85.445  ,-0.514 ,-4.580 ,    128.691 ,  81.874 ,    121.735 ,  78.904 , 0.175 ,  58.723 ,-0.073         ,-0.012         ,            0.002 ,            0.002 ,4577.980  ,82.094     ,-4440.719 ,85.445     ,-0.514    ,-4.580     ,   128.691 ,      81.874 ,   121.735 ,      78.904 ,     0.175 ,      58.723 ,-0.073             ,-0.012             ,                0.002 ,                0.002
  1.500 ,13288.278  ,-12695.573 ,0.000 ,4611.549  ,66.955  ,-4405.962 ,70.079  , 0.000 ,  0.000 ,0.001        ,-0.002          ,4611.571  ,78.025  ,-4405.604 ,82.644  ,0.494  ,-3.084 ,    222.552 ,  77.602 ,    203.898 ,  71.892 , 0.175 ,  46.389 ,-0.051         ,-0.016         ,            0.001 ,            0.001 ,4611.571  ,78.025     ,-4405.604 ,82.644     ,0.494     ,-3.084     ,   222.552 ,      77.602 ,   203.898 ,      71.892 ,     0.175 ,      46.389 ,-0.051             ,-0.016             ,                0.001 ,                0.001
  2.000 ,13384.407  ,-12594.188 ,0.000 ,4644.893  ,66.420  ,-4370.796 ,70.586  , 0.000 ,  0.000 ,0.004        ,0.001           ,4645.236  ,75.355  ,-4369.771 ,81.189  ,-0.195 ,-2.763 ,    346.264 ,  75.733 ,    307.484 ,  67.082 , 0.175 ,  38.649 ,-0.037         ,-0.004         ,            0.001 ,            0.001 ,4645.236  ,75.355     ,-4369.771 ,81.189     ,-0.195    ,-2.763     ,   346.264 ,      75.733 ,   307.484 ,      67.082 ,     0.175 ,      38.649 ,-0.037             ,-0.004             ,                0.001 ,                0.001
  2.500 ,13479.762  ,-12492.074 ,0.000 ,4677.969  ,65.882  ,-4335.377 ,71.088  , 0.000 ,  0.000 ,0.000        ,0.003           ,4677.626  ,73.003  ,-4334.720 ,79.977  ,-0.642 ,-2.460 ,    501.219 ,  75.159 ,    431.610 ,  63.463 , 0.175 ,  33.384 ,-0.037         ,-0.004         ,            0.001 ,            0.001 ,4677.626  ,73.003     ,-4334.720 ,79.977     ,-0.642    ,-2.460     ,   501.219 ,      75.159 ,   431.610 ,      63.463 ,     0.175 ,      33.384 ,-0.037             ,-0.004             ,                0.001 ,                0.001
  3.000 ,13574.339  ,-12389.239 ,0.000 ,4710.774  ,65.340  ,-4299.708 ,71.587  , 0.000 ,  0.000 ,0.004        ,0.001           ,4710.700  ,71.394  ,-4298.301 ,79.518  ,-0.247 ,-1.996 ,    689.053 ,  75.374 ,    575.139 ,  60.551 , 0.175 ,  29.603 ,-0.024         ,-0.008         ,            0.001 ,            0.001 ,4710.700  ,71.394     ,-4298.301 ,79.518     ,-0.247    ,-1.996     ,   689.053 ,      75.374 ,   575.139 ,      60.551 ,     0.175 ,      29.603 ,-0.024             ,-0.008             ,                0.001 ,                0.001
  3.500 ,13668.131  ,-12285.687 ,0.000 ,4743.308  ,64.794  ,-4263.791 ,72.081  , 0.000 ,  0.000 ,-0.002       ,-0.001          ,4742.200  ,69.692  ,-4263.067 ,78.896  ,0.112  ,-1.646 ,    910.918 ,  76.088 ,    737.440 ,  58.111 , 0.175 ,  26.780 ,-0.030         ,-0.006         ,            0.001 ,            0.001 ,4742.200  ,69.692     ,-4263.067 ,78.896     ,0.112     ,-1.646     ,   910.918 ,      76.088 ,   737.440 ,      58.111 ,     0.175 ,      26.780 ,-0.030             ,-0.006             ,                0.001 ,                0.001
  4.000 ,13761.133  ,-12181.426 ,0.000 ,4775.568  ,64.245  ,-4227.627 ,72.572  , 0.000 ,  0.000 ,-0.001       ,0.001           ,4774.295  ,68.428  ,-4226.579 ,78.728  ,-0.282 ,-1.544 ,   1168.766 ,  77.165 ,    917.040 ,  55.974 , 0.175 ,  24.612 ,-0.019         ,-0.002         ,            0.001 ,            0.001 ,4774.295  ,68.428     ,-4226.579 ,78.728     ,-0.282    ,-1.544     ,  1168.766 ,      77.165 ,   917.040 ,      55.974 ,     0.175 ,      24.612 ,-0.019             ,-0.002             ,                0.001 ,                0.001
  4.500 ,13853.340  ,-12076.460 ,0.000 ,4807.552  ,63.692  ,-4191.220 ,73.058  , 0.000 ,  0.000 ,-0.004       ,-0.002          ,4805.573  ,67.175  ,-4190.423 ,78.542  ,0.393  ,-1.227 ,   1463.554 ,  78.483 ,   1113.520 ,  54.074 , 0.175 ,  22.910 ,-0.021         ,-0.007         ,            0.001 ,            0.001 ,4805.573  ,67.175     ,-4190.423 ,78.542     ,0.393     ,-1.227     ,  1463.554 ,      78.483 ,  1113.520 ,      54.074 ,     0.175 ,      22.910 ,-0.021             ,-0.007             ,                0.001 ,                0.001
