Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,-0.015,0.008,4482.234,71.308,-4520.388,66.203,22.203,-0.056,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4511.607,70.637,-4506.724,70.961,-1.344,-2.018,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4488.591,68.228,-4523.735,69.242,-14.082,1.160,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,-0.001,0.005,4630.727,70.409,-4377.343,69.662,12.767,-1.392,1110.532,94.684,1070.095,93.112,779.308,87.667,38.772,0.124,-0.100,0.072,0.072,4647.595,67.951,-4365.824,72.667,-2.514,-1.608,1108.489,94.502,1071.695,92.949,778.793,87.314,38.769,-0.047,0.031,0.072,0.072,4630.187,67.070,-4375.423,72.412,-6.068,1.972,1110.344,94.483,1070.046,92.873,779.072,87.227,38.770
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,-0.001,0.003,4772.596,68.823,-4232.115,72.591,5.581,-2.197,1818.168,86.394,1616.700,77.291,830.667,63.199,42.270,0.049,-0.044,0.076,0.076,4777.917,65.084,-4222.182,74.028,-2.696,-1.057,1814.193,86.179,1619.721,77.071,829.556,62.756,42.264,-0.051,0.031,0.076,0.076,4765.047,65.287,-4225.093,75.092,-0.796,2.212,1817.733,86.171,1616.368,76.978,829.917,62.665,42.265
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,-0.061,-0.049,4903.994,65.975,-4089.770,73.916,-4.437,-3.128,3056.679,81.799,2411.988,60.181,860.505,40.932,46.257,-0.063,-0.055,0.079,0.079,4899.251,61.783,-4080.338,74.581,-7.484,-1.495,3051.935,81.602,2415.633,60.004,859.332,40.565,46.253,-0.102,-0.026,0.078,0.078,4889.324,62.306,-4077.791,76.227,-3.175,1.096,3056.311,81.628,2411.605,59.914,859.800,40.499,46.254
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,0.003,0.007,5034.455,63.808,-3938.709,76.175,-4.955,-2.325,4890.610,81.702,3356.376,46.145,833.866,26.075,50.079,0.014,0.058,0.076,0.076,5021.255,59.575,-3928.283,76.571,-4.857,-0.708,4886.310,81.492,3359.569,46.048,833.076,25.802,50.076,0.013,0.056,0.076,0.076,5012.546,60.024,-3922.082,78.299,0.129,1.251,4890.484,81.577,3356.235,45.946,833.684,25.757,50.078
10.000,14813.634,-10877.138,0.000,5140.666,57.370,-3775.240,78.120,0.000,0.000,-0.010,0.014,5158.304,61.326,-3786.348,77.939,-4.032,-1.657,7400.915,84.366,4398.653,35.355,780.137,17.044,53.708,-0.027,0.060,0.072,0.072,5137.652,57.172,-3773.934,78.268,-2.200,-0.220,7397.310,84.118,4400.847,35.331,779.819,16.841,53.706,-0.008,0.044,0.072,0.072,5128.962,57.433,-3765.402,79.875,2.750,1.265,7400.971,84.269,4398.820,35.207,780.514,16.809,53.709
12.000,15137.495,-10421.716,0.000,5253.014,54.970,-3617.281,79.827,0.000,0.000,0.055,-0.009,5280.041,59.062,-3626.117,80.156,-5.085,-1.423,10661.729,88.368,5485.565,26.957,720.175,11.567,57.153,0.032,0.026,0.068,0.068,5252.297,54.986,-3611.227,80.462,-2.320,-0.186,10658.158,88.078,5486.872,26.987,720.271,11.413,57.152,0.061,0.004,0.068,0.068,5242.961,55.054,-3601.217,81.890,2.352,0.960,10661.781,88.289,5486.044,26.845,721.025,11.389,57.156
14.000,15447.359,-9956.657,0.000,5360.511,52.519,-3455.981,81.461,0.000,0.000,0.009,0.012,5393.745,56.463,-3467.074,81.717,-3.986,-1.061,14732.143,92.911,6567.381,20.268,662.885,8.150,60.420,-0.047,0.050,0.065,0.065,5359.191,52.455,-3449.689,81.995,-0.744,-0.008,14727.672,92.587,6568.316,20.330,663.317,8.029,60.420,-0.015,0.025,0.064,0.064,5348.773,52.353,-3438.685,83.243,3.591,0.897,14732.157,92.845,6568.138,20.179,664.081,8.011,60.424
16.000,15742.939,-9482.392,0.000,5463.056,50.019,-3291.489,83.019,0.000,0.000,0.001,0.014,5502.178,53.845,-3305.303,83.198,-2.937,-0.801,19670.984,97.551,7587.923,14.867,611.134,5.939,63.508,-0.055,0.043,0.062,0.062,5460.840,49.881,-3285.560,83.425,0.532,0.098,19664.332,97.203,7589.142,14.942,611.825,5.842,63.508,-0.022,0.018,0.061,0.061,5449.086,49.638,-3273.879,84.506,4.538,0.827,19670.797,97.495,7588.944,14.794,612.587,5.827,63.513
18.000,16023.964,-8999.360,0.000,5560.556,47.473,-3123.956,84.501,0.000,0.000,0.003,0.006,5605.836,51.231,-3140.001,84.677,-2.686,-0.664,25526.588,102.041,8499.335,10.525,565.369,4.457,66.422,-0.047,0.027,0.059,0.059,5557.623,47.291,-3118.129,84.828,0.873,0.109,25516.428,101.679,8501.498,10.598,566.260,4.377,66.421,-0.015,0.002,0.059,0.059,5544.358,46.931,-3105.987,85.759,4.577,0.707,25526.029,101.993,8500.615,10.462,567.016,4.365,66.426
