Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,0.016,-0.024,4522.686,68.645,-4493.612,65.312,-11.222,-0.973,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4517.165,68.787,-4496.375,70.650,6.938,-2.680,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4527.458,69.558,-4505.926,69.307,8.139,-0.659,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
1.000,13191.381,-12796.225,0.000,4577.938,67.485,-4440.874,69.568,0.000,0.000,0.016,-0.014,4586.831,67.333,-4431.911,65.971,-8.617,-0.648,894.092,98.448,882.503,98.256,676.191,96.666,37.011,-0.071,0.044,0.065,0.065,4581.901,67.360,-4428.794,71.363,1.496,-2.930,894.279,98.347,882.546,98.137,676.394,96.444,37.012,-0.062,-0.034,0.065,0.065,4593.003,68.176,-4439.657,70.043,3.473,-1.023,893.958,98.386,882.206,98.182,675.738,96.528,37.007
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,-0.002,-0.002,4651.308,65.966,-4367.992,66.524,-6.248,-0.115,1016.551,94.498,977.781,92.996,593.104,87.367,37.418,-0.049,0.043,0.060,0.060,4645.687,65.721,-4360.168,71.794,-1.065,-2.864,1016.677,94.350,977.906,92.778,593.257,86.993,37.420,-0.063,0.005,0.060,0.060,4657.779,66.607,-4372.176,70.525,1.505,-1.190,1016.299,94.408,977.463,92.855,592.452,87.128,37.413
3.000,13574.339,-12389.239,0.000,4710.774,65.340,-4299.708,71.587,0.000,0.000,0.008,-0.026,4716.499,64.946,-4301.311,67.438,-6.084,-0.055,1295.249,89.265,1197.451,84.516,590.468,73.518,38.965,-0.006,0.004,0.060,0.060,4709.294,64.279,-4289.646,72.387,-4.470,-2.980,1295.210,89.135,1197.691,84.238,590.451,73.089,38.966,-0.033,-0.008,0.060,0.060,4722.521,65.254,-4302.652,71.199,-1.653,-1.615,1294.837,89.189,1197.184,84.328,589.606,73.236,38.960
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,0.010,0.033,4781.641,64.118,-4232.572,68.593,-1.673,0.923,1708.192,84.422,1498.111,74.508,603.016,58.481,40.908,0.015,0.062,0.061,0.061,4772.104,62.970,-4217.847,73.102,-2.543,-1.909,1708.006,84.355,1498.566,74.205,602.891,58.076,40.908,-0.019,0.068,0.061,0.061,4786.591,64.038,-4231.721,72.009,0.206,-0.856,1707.643,84.393,1497.978,74.291,602.004,58.207,40.902
5.000,13944.746,-11970.796,0.000,4839.259,63.135,-4154.571,73.539,0.000,0.000,0.028,0.012,4847.181,63.502,-4161.095,70.067,0.350,1.150,2253.624,81.025,1856.407,64.664,605.668,45.005,42.927,0.042,0.015,0.061,0.061,4834.791,61.898,-4143.924,74.108,-2.079,-1.422,2253.417,81.036,1857.161,64.354,605.573,44.659,42.928,0.006,0.033,0.061,0.061,4850.624,63.053,-4158.556,73.113,0.414,-0.637,2253.045,81.055,1856.469,64.433,604.616,44.764,42.922
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,-0.002,0.030,4910.640,62.564,-4089.940,71.146,3.102,1.453,2939.166,79.279,2260.945,55.884,594.614,34.199,44.926,0.011,0.023,0.061,0.061,4895.074,60.573,-4070.710,74.759,-0.209,-0.803,2939.135,79.360,2261.983,55.578,594.651,33.915,44.928,-0.024,0.046,0.060,0.060,4912.312,61.801,-4086.025,73.854,1.960,-0.226,2938.730,79.363,2261.190,55.648,593.610,33.997,44.922
7.000,14302.259,-11541.286,0.000,4963.274,60.871,-4005.596,75.424,0.000,0.000,-0.014,-0.012,4972.953,61.569,-4017.934,72.163,2.246,1.058,3775.800,78.919,2704.539,48.381,573.685,26.017,46.888,0.007,-0.034,0.060,0.060,4954.056,59.265,-3996.897,75.403,-1.496,-0.885,3776.180,79.057,2705.766,48.083,573.894,25.786,46.891,-0.025,-0.007,0.059,0.059,4972.731,60.554,-4012.837,74.579,0.352,-0.463,3775.717,79.048,2704.895,48.146,572.780,25.851,46.885
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,-0.008,0.015,5034.824,60.633,-3944.094,73.295,3.273,1.054,4774.134,79.573,3181.177,42.038,547.501,19.968,48.809,0.022,-0.000,0.058,0.058,5012.501,58.077,-3921.396,76.217,-0.639,-0.614,4775.166,79.753,3182.460,41.751,547.879,19.780,48.814,-0.006,0.027,0.058,0.058,5032.641,59.417,-3937.919,75.465,0.924,-0.302,4774.620,79.736,3181.540,41.808,546.715,19.832,48.807
9.000,14646.549,-11101.104,0.000,5082.704,58.551,-3852.921,77.239,0.000,0.000,-0.003,0.032,5095.945,59.689,-3868.765,74.453,5.026,1.154,5943.578,80.920,3684.804,36.644,519.422,15.520,50.689,0.030,0.011,0.057,0.057,5070.145,56.931,-3844.508,77.104,1.098,-0.280,5945.513,81.128,3686.008,36.370,519.950,15.365,50.695,0.005,0.038,0.057,0.057,5091.770,58.314,-3861.577,76.417,2.419,-0.045,5944.856,81.106,3685.068,36.422,518.755,15.407,50.689
