Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat1,Targ1,,,,,,
1.000,Sat1,Targ1,,,,,,
2.000,Sat1,Targ1,,,,,,
3.000,Sat1,Targ1,,,,,,
4.000,Sat1,Targ1,,,,,,
5.000,Sat1,Targ1,,,,,,
6.000,Sat1,Targ1,,,,,,
7.000,Sat1,Targ1,,,,,,
8.000,Sat1,Targ1,,,,,,
9.000,Sat1,Targ1,,,,,,
10.000,Sat1,Targ1,,,,,,
11.000,Sat1,Targ1,,,,,,
12.000,Sat1,Targ1,,,,Sat2,0.023,0.033
13.000,Sat1,Targ1,,,,Sat2,-0.022,-0.039
14.000,Sat1,Targ1,,,,Sat2,-0.011,-0.013
15.000,Sat1,Targ1,,,,Sat2,-0.013,-0.001
16.000,Sat1,Targ1,,,,Sat2,-0.016,0.044
17.000,Sat1,Targ1,,,,Sat2,-0.034,-0.004
18.000,Sat1,Targ1,,,,Sat2,0.008,-0.040
19.000,Sat1,Targ1,,,,Sat2,-0.018,0.018
20.000,Sat1,Targ1,,,,Sat2,0.006,-0.018
21.000,Sat1,Targ1,,,,Sat2,0.013,0.017
22.000,Sat1,Targ1,,,,Sat2,-0.009,0.003
23.000,Sat1,Targ1,,,,Sat2,0.011,0.008
24.000,Sat1,Targ1,,,,Sat2,-0.024,-0.018
25.000,Sat1,Targ1,,,,Sat2,-0.023,-0.006
26.000,Sat1,Targ1,,,,Sat2,-0.000,-0.023
27.000,Sat1,Targ1,,,,Sat2,-0.022,-0.014
28.000,Sat1,Targ1,,,,Sat2,-0.006,0.024
29.000,Sat1,Targ1,,,,Sat2,-0.001,0.009
30.000,Sat1,Targ1,,,,Sat2,0.015,0.018
31.000,Sat1,Targ1,,,,Sat2,-0.002,0.016
32.000,Sat1,Targ1,,,,Sat2,-0.019,-0.003
33.000,Sat1,Targ1,,,,Sat2,-0.022,-0.027
34.000,Sat1,Targ1,,,,Sat2,-0.015,0.004
35.000,Sat1,Targ1,,,,Sat2,-0.028,0.013
36.000,Sat1,Targ1,Sat2,6.712,6.939,Sat2,-0.013,0.009
37.000,Sat1,Targ1,Sat2,6.397,6.503,Sat2,0.020,0.018
