Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Meas_alpha,ET_Meas_beta,ET_Track Error
36.000,17859.904,-0.000,-4333.561,6197.722,22.881,-1505.700,94.183,0.000,0.000,6.746,6.945,6186.695,27.831,-1478.032,94.947,-8.022,0.301,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6215.500,18.586,-1485.089,91.838,-0.384,-2.915,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6212.722,34.322,-1490.700,141.275,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,6.746,6.945,34.641
37.000,17923.726,-0.000,-4061.522,6219.886,21.447,-1411.346,94.520,0.000,0.000,6.374,6.542,6220.018,26.975,-1411.341,92.850,0.527,1.053,972.654,98.958,31.716,91.457,132.776,92.295,27.811,0.046,0.135,0.024,0.024,6224.189,16.412,-1411.639,90.360,-0.534,-2.660,245.844,92.937,19.326,90.890,24.110,90.942,19.994,-0.003,0.079,0.024,0.024,6244.641,31.140,-1396.613,135.446,-3.004,-2.483,656.579,98.689,155.067,89.225,210.326,90.241,6.374,6.542
38.000,17983.404,-0.000,-3788.544,6240.615,20.009,-1316.667,94.835,0.000,0.000,5.984,6.122,6246.001,24.703,-1315.978,95.119,-1.446,-1.229,1247.764,92.946,31.782,26.788,146.821,32.101,29.142,-0.016,-0.012,0.003,0.003,6240.043,15.445,-1317.036,93.937,-0.449,-0.440,187.289,74.240,16.542,25.625,19.663,26.605,18.841,0.014,-0.023,0.003,0.003,6254.168,27.543,-1306.264,135.249,2.929,-1.665,699.311,99.663,167.188,89.301,141.067,88.923,5.984,6.122,28.636
39.000,18038.926,-0.000,-3514.691,6259.902,18.565,-1221.684,95.128,0.000,0.000,5.590,5.707,6269.851,23.257,-1221.351,95.157,-2.635,-1.231,1708.312,92.007,33.577,9.726,168.724,15.088,31.014,0.000,0.004,0.002,0.002,6257.821,15.133,-1222.331,94.556,0.192,0.272,198.550,53.003,15.008,8.256,17.990,9.156,18.849,0.012,0.000,0.002,0.002,6264.872,21.162,-1199.312,122.392,-0.040,-1.677,692.849,93.993,103.976,62.531,94.577,61.361,5.590,5.707,27.201
40.000,18090.278,-0.000,-3240.025,6277.744,17.118,-1126.418,95.399,0.000,0.000,5.183,5.276,6292.967,21.900,-1125.374,95.817,-4.329,-1.380,2329.445,90.821,35.645,5.200,193.268,9.572,33.018,-0.002,-0.004,0.001,0.001,6274.715,14.480,-1126.700,95.184,0.276,0.228,218.522,36.229,12.949,3.519,15.914,4.139,18.919,0.003,-0.003,0.001,0.001,6281.754,17.656,-1107.449,109.657,-0.919,-1.260,810.361,82.840,99.667,33.719,91.997,33.124,5.183,5.276,27.725
41.000,18137.447,-0.000,-2964.610,6294.136,15.666,-1030.892,95.648,0.000,0.000,4.769,4.841,6314.663,20.530,-1028.877,96.369,-5.675,-1.347,3028.134,86.623,37.730,3.604,211.629,6.761,34.807,0.001,-0.003,0.001,0.001,6289.372,13.275,-1030.970,95.520,0.512,0.237,235.534,25.086,11.193,1.814,13.984,2.210,18.945,0.002,-0.003,0.001,0.001,6297.316,15.408,-1017.875,102.724,-1.048,-0.795,931.875,68.779,87.668,17.246,83.472,17.241,4.769,4.841,28.007
42.000,18180.424,-0.000,-2688.510,6309.074,14.211,-935.129,95.875,0.000,0.000,4.345,4.405,6332.330,18.724,-932.815,96.614,-6.251,-1.210,3633.478,77.557,38.347,2.836,213.255,4.799,36.016,0.002,0.003,0.001,0.001,6303.883,12.273,-935.030,95.798,0.355,0.139,250.777,18.037,9.790,1.071,12.311,1.316,18.963,0.000,0.000,0.001,0.001,6310.972,13.552,-925.945,99.714,-1.068,-0.544,1035.763,55.608,74.140,9.375,73.598,9.596,4.345,4.405,28.106
43.000,18219.198,-0.000,-2411.788,6322.556,12.752,-839.149,96.080,0.000,0.000,3.920,3.964,6341.089,15.970,-837.406,96.624,-4.471,-0.758,3950.958,63.896,36.302,2.290,192.978,3.280,36.392,0.009,0.006,0.001,0.001,6318.303,11.381,-839.030,96.019,0.209,0.084,266.880,13.551,8.673,0.702,10.884,0.849,19.008,0.005,0.003,0.001,0.001,6323.178,11.890,-832.495,98.307,-1.173,-0.422,1127.253,44.952,62.644,5.553,64.904,5.785,3.920,3.964,28.155
44.000,18253.761,-0.000,-2134.509,6334.577,11.291,-742.976,96.263,0.000,0.000,3.481,3.516,6351.597,13.915,-741.289,96.758,-3.958,-0.601,3913.987,48.554,31.823,1.810,156.835,2.174,35.939,0.004,0.003,0.001,0.001,6329.659,10.041,-742.717,96.216,0.321,0.091,285.993,10.628,7.774,0.502,9.666,0.583,19.103,0.001,0.000,0.001,0.001,6334.389,10.381,-738.038,97.621,-0.690,-0.218,1217.229,36.878,53.551,3.578,57.668,3.734,3.481,3.516,28.228
45.000,18284.103,-0.000,-1856.737,6345.136,9.826,-646.631,96.423,0.000,0.000,3.042,3.068,6354.371,11.294,-645.666,96.724,-2.029,-0.329,3617.394,34.757,26.219,1.392,116.524,1.458,34.885,0.008,0.005,0.001,0.001,6340.894,8.869,-646.333,96.387,0.230,0.063,309.960,8.677,7.044,0.388,8.622,0.421,19.265,0.003,0.002,0.001,0.001,6343.702,8.839,-642.713,97.303,-0.657,-0.167,1315.946,30.927,46.460,2.493,51.661,2.546,3.042,3.068,28.363
46.000,18310.219,-0.000,-1578.535,6354.230,8.360,-550.136,96.562,0.000,0.000,2.593,2.615,6359.223,9.253,-549.549,96.762,-1.163,-0.221,3221.151,24.160,20.863,1.059,81.286,1.041,33.547,0.004,0.004,0.001,0.001,6349.729,7.496,-549.841,96.515,0.291,0.064,340.473,7.351,6.443,0.320,7.714,0.318,19.501,0.001,0.002,0.001,0.001,6351.870,7.358,-547.073,97.123,-0.351,-0.084,1432.249,26.593,40.913,1.870,46.601,1.814,2.593,2.615,28.585
