Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Meas_alpha,ET_Meas_beta,ET_Track Error
36.000,17859.904,-0.000,-4333.561,6197.722,22.881,-1505.700,94.183,0.000,0.000,6.746,6.947,6185.542,27.146,-1485.805,95.759,34.606,-2.855,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6204.007,24.190,-1515.262,93.326,2.552,7.036,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6201.976,24.203,-1524.722,89.478,20.859,-2.867,1000.000,100.000,1000.000,100.000,1000.000,100.000,6.746,6.947,38.960
37.000,17923.726,-0.000,-4061.522,6219.886,21.447,-1411.346,94.520,0.000,0.000,6.371,6.539,6205.479,25.100,-1412.530,94.150,5.539,-5.245,970.607,98.935,31.850,91.407,134.765,92.259,27.830,-0.126,0.106,0.024,0.024,6221.280,22.196,-1411.472,94.630,0.057,6.171,246.270,92.952,19.279,91.128,24.179,91.193,20.000,-0.053,-0.051,0.024,0.024,6217.860,16.047,-1410.460,94.741,0.747,2.637,397.515,97.804,29.266,49.786,16.069,50.705,6.371,6.539,21.673
38.000,17983.404,-0.000,-3788.544,6240.615,20.009,-1316.667,94.835,0.000,0.000,5.983,6.125,6229.960,24.160,-1318.028,94.742,2.622,-3.482,1245.720,93.046,31.769,26.792,146.599,32.059,29.131,0.012,-0.001,0.003,0.003,6240.694,19.677,-1316.805,94.783,0.960,1.738,187.358,74.269,16.552,25.688,19.702,26.671,18.845,-0.032,0.000,0.003,0.003,6235.996,15.958,-1316.054,94.839,1.156,1.269,228.409,69.318,20.117,11.623,13.101,13.157,5.983,6.125,19.274
39.000,18038.926,-0.000,-3514.691,6259.902,18.565,-1221.684,95.128,0.000,0.000,5.590,5.702,6253.387,22.927,-1222.425,95.565,1.550,-2.185,1708.079,92.051,33.597,9.735,168.161,15.107,31.008,0.014,-0.004,0.002,0.002,6259.041,17.975,-1221.800,95.097,1.035,0.774,198.431,53.018,15.011,8.276,18.006,9.176,18.849,-0.011,-0.001,0.002,0.002,6254.790,15.956,-1221.483,94.996,1.084,0.654,191.197,40.004,13.574,3.807,11.251,4.796,5.590,5.702,18.272
40.000,18090.278,-0.000,-3240.025,6277.744,17.118,-1126.418,95.399,0.000,0.000,5.183,5.278,6274.986,21.377,-1127.010,95.835,0.230,-1.876,2332.268,90.863,35.665,5.206,192.961,9.600,33.023,0.005,0.002,0.001,0.001,6277.090,16.771,-1126.794,95.274,0.353,0.176,218.339,36.233,12.951,3.529,15.916,4.148,18.916,-0.007,0.002,0.001,0.001,6274.148,15.878,-1126.532,95.242,0.514,0.189,173.058,22.928,9.993,1.682,9.635,2.235,5.183,5.278,17.627
41.000,18137.447,-0.000,-2964.610,6294.136,15.666,-1030.892,95.648,0.000,0.000,4.776,4.844,6293.310,19.508,-1031.141,96.180,0.395,-1.315,3036.805,86.699,37.813,3.610,211.811,6.787,34.828,0.011,-0.001,0.001,0.001,6294.958,15.811,-1030.994,95.677,0.396,0.147,235.291,25.081,11.193,1.821,13.979,2.216,18.941,0.004,-0.002,0.001,0.001,6292.266,15.230,-1030.927,95.596,0.244,0.047,161.104,14.069,7.835,0.903,8.316,1.214,4.776,4.844,17.147
42.000,18180.424,-0.000,-2688.510,6309.074,14.211,-935.129,95.875,0.000,0.000,4.346,4.405,6313.104,18.196,-934.642,96.563,-1.398,-1.412,3651.713,77.708,38.530,2.840,214.114,4.817,36.060,-0.002,-0.000,0.001,0.001,6308.962,14.116,-935.187,95.894,0.140,0.031,250.385,18.023,9.788,1.076,12.302,1.321,18.957,-0.007,-0.002,0.001,0.001,6308.768,14.182,-935.342,95.817,0.295,0.047,154.149,9.321,6.423,0.558,7.272,0.736,4.346,4.405,16.803
43.000,18219.198,-0.000,-2411.788,6322.556,12.752,-839.149,96.080,0.000,0.000,3.921,3.963,6324.677,15.897,-838.663,96.708,-0.763,-1.091,3975.046,64.031,36.510,2.294,194.028,3.290,36.446,0.007,0.002,0.001,0.001,6322.961,12.776,-838.939,96.164,0.224,0.045,266.406,13.536,8.672,0.706,10.875,0.852,19.001,0.001,-0.001,0.001,0.001,6321.918,12.705,-838.995,96.108,0.178,0.007,151.451,6.610,5.444,0.385,6.441,0.486,3.921,3.963,16.578
44.000,18253.761,-0.000,-2134.509,6334.577,11.291,-742.976,96.263,0.000,0.000,3.482,3.523,6330.633,13.293,-743.433,96.628,0.251,-0.860,3938.316,48.629,31.998,1.812,157.713,2.178,35.994,0.003,0.010,0.001,0.001,6334.832,11.281,-743.088,96.263,0.218,0.035,285.463,10.613,7.774,0.505,9.659,0.585,19.096,-0.003,0.007,0.001,0.001,6333.726,11.204,-742.900,96.265,0.337,0.037,152.470,4.966,4.735,0.290,5.772,0.343,3.482,3.523,16.457
45.000,18284.103,-0.000,-1856.737,6345.136,9.826,-646.631,96.423,0.000,0.000,3.041,3.066,6341.265,11.599,-646.694,96.840,0.098,-0.767,3642.798,34.823,26.396,1.394,117.283,1.460,34.945,0.004,-0.002,0.001,0.001,6344.731,9.722,-646.784,96.406,0.185,0.021,309.360,8.663,7.044,0.390,8.617,0.423,19.257,-0.001,-0.003,0.001,0.001,6344.646,9.798,-646.959,96.364,0.154,0.003,156.939,3.918,4.208,0.235,5.223,0.257,3.041,3.066,16.426
