Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Meas_alpha,ET_Meas_beta,ET_Track Error
36.000,17859.904,-0.000,-4333.561,6197.722,22.881,-1505.700,94.183,0.000,0.000,6.747,6.945,6199.679,26.323,-1499.573,94.630,-1.735,-5.302,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6210.154,23.356,-1502.514,88.266,-2.564,4.121,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6212.722,34.322,-1490.700,141.275,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,6.747,6.945,34.641
37.000,17923.726,-0.000,-4061.522,6219.886,21.447,-1411.346,94.520,0.000,0.000,6.371,6.544,6227.611,25.093,-1411.361,94.472,-2.606,-4.904,972.012,98.943,32.134,91.373,132.935,92.208,27.821,0.023,0.032,0.024,0.024,6224.217,21.305,-1412.162,88.781,-0.587,3.927,245.900,92.952,19.278,91.161,24.120,91.225,19.993,-0.026,-0.014,0.024,0.024,6244.305,31.130,-1407.945,133.877,-7.711,-3.133,641.157,98.382,26.483,86.776,94.100,88.030,6.371,6.544
38.000,17983.404,-0.000,-3788.544,6240.615,20.009,-1316.667,94.835,0.000,0.000,5.983,6.127,6252.190,24.266,-1316.029,95.488,-4.509,-2.597,1247.081,92.962,31.804,26.714,146.347,32.034,29.134,0.016,-0.004,0.003,0.003,6243.093,19.314,-1317.936,93.367,-0.016,1.051,187.172,74.256,16.536,25.687,19.681,26.667,18.840,-0.022,-0.029,0.003,0.003,6251.754,27.244,-1317.412,133.699,0.109,-2.054,693.771,99.578,48.753,87.012,17.102,86.565,5.983,6.127,24.481
39.000,18038.926,-0.000,-3514.691,6259.902,18.565,-1221.684,95.128,0.000,0.000,5.588,5.704,6275.617,22.948,-1220.287,95.963,-5.458,-1.727,1708.672,91.999,33.510,9.701,168.385,15.087,31.010,0.009,-0.000,0.002,0.002,6260.943,17.626,-1222.320,94.826,0.012,0.439,198.302,53.000,15.002,8.275,17.992,9.173,18.845,-0.009,-0.012,0.002,0.002,6254.852,17.259,-1214.443,105.064,-0.226,-0.889,250.580,86.174,22.833,23.752,14.986,21.573,5.588,5.704,19.791
40.000,18090.278,-0.000,-3240.025,6277.744,17.118,-1126.418,95.399,0.000,0.000,5.184,5.276,6296.880,21.347,-1124.561,96.207,-5.730,-1.202,2331.535,90.813,35.538,5.189,193.145,9.580,33.020,0.008,0.002,0.001,0.001,6278.552,16.409,-1126.607,95.402,0.005,0.261,218.230,36.218,12.946,3.528,15.908,4.146,18.914,-0.002,-0.004,0.001,0.001,6276.612,16.308,-1122.675,98.391,-0.324,-0.184,233.898,57.219,16.426,6.704,12.433,6.309,5.184,5.276,19.130
41.000,18137.447,-0.000,-2964.610,6294.136,15.666,-1030.892,95.648,0.000,0.000,4.769,4.844,6315.639,19.551,-1028.873,96.364,-5.972,-0.973,3033.900,86.642,37.650,3.598,211.874,6.765,34.819,0.004,0.004,0.001,0.001,6293.311,14.710,-1031.221,95.570,0.229,0.241,235.200,25.071,11.191,1.819,13.976,2.214,18.940,-0.003,-0.000,0.001,0.001,6293.279,14.856,-1029.243,96.632,0.057,0.099,220.760,34.116,11.756,2.528,10.211,2.619,4.769,4.844,18.540
42.000,18180.424,-0.000,-2688.510,6309.074,14.211,-935.129,95.875,0.000,0.000,4.351,4.403,6331.030,17.542,-932.711,96.614,-5.252,-0.629,3645.025,77.622,38.341,2.831,213.866,4.795,36.042,0.008,0.000,0.001,0.001,6307.728,13.357,-935.123,95.891,0.438,0.234,250.414,18.022,9.788,1.074,12.304,1.319,18.957,0.002,-0.005,0.001,0.001,6307.930,13.465,-934.075,96.356,0.118,0.103,209.120,21.021,8.892,1.203,8.632,1.347,4.351,4.403,18.058
43.000,18219.198,-0.000,-2411.788,6322.556,12.752,-839.149,96.080,0.000,0.000,3.923,3.962,6340.453,15.043,-837.115,96.638,-3.560,-0.283,3968.515,63.998,36.343,2.286,193.860,3.271,36.430,0.007,0.005,0.001,0.001,6321.062,12.037,-839.072,96.097,0.615,0.223,266.493,13.537,8.672,0.704,10.878,0.851,19.002,0.002,-0.001,0.001,0.001,6320.753,11.994,-838.221,96.382,0.411,0.154,202.374,13.875,7.077,0.682,7.465,0.793,3.923,3.962,17.717
44.000,18253.761,-0.000,-2134.509,6334.577,11.291,-742.976,96.263,0.000,0.000,3.483,3.518,6349.016,12.866,-741.434,96.653,-2.605,-0.154,3934.109,48.652,31.872,1.806,157.682,2.163,35.983,0.001,0.007,0.001,0.001,6332.918,10.673,-742.868,96.272,0.603,0.177,285.610,10.616,7.774,0.504,9.664,0.584,19.098,-0.002,0.001,0.001,0.001,6333.117,10.727,-742.203,96.460,0.592,0.163,201.122,9.809,5.860,0.444,6.568,0.513,3.483,3.518,17.511
45.000,18284.103,-0.000,-1856.737,6345.136,9.826,-646.631,96.423,0.000,0.000,3.043,3.070,6353.108,10.514,-645.919,96.601,-1.087,0.005,3638.853,34.852,26.280,1.389,117.256,1.448,34.935,0.003,0.008,0.001,0.001,6345.348,9.592,-646.403,96.474,0.224,0.082,309.548,8.667,7.044,0.389,8.620,0.422,19.260,-0.001,0.003,0.001,0.001,6345.127,9.609,-645.836,96.605,0.149,0.047,205.202,7.369,5.005,0.323,5.858,0.358,3.043,3.070,17.427
