Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,0.023,-0.001,4495.430,70.756,-4483.760,64.756,9.218,1.803,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4519.757,68.823,-4535.986,69.160,-11.652,0.958,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4494.517,64.662,-4500.642,67.413,19.169,0.123,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
1.000,13191.381,-12796.225,0.000,4577.938,67.485,-4440.874,69.568,0.000,0.000,0.006,-0.024,4564.032,69.665,-4420.177,65.704,4.851,1.243,895.003,98.505,882.686,98.311,677.276,96.777,37.019,-0.030,-0.076,0.065,0.065,4591.411,68.058,-4462.830,70.517,-8.498,1.157,894.611,98.368,880.884,98.145,675.076,96.474,37.002,0.060,0.027,0.065,0.065,4561.043,63.857,-4430.297,68.562,9.939,-0.727,895.398,98.326,881.985,98.106,676.989,96.394,37.017
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,0.037,-0.012,4634.026,68.851,-4353.060,66.950,3.208,0.734,1017.791,94.605,978.035,93.097,594.555,87.572,37.429,0.017,-0.041,0.060,0.060,4662.019,67.500,-4388.458,72.150,-5.684,1.450,1017.347,94.386,975.528,92.785,591.574,87.036,37.406,0.064,0.023,0.060,0.060,4627.802,63.408,-4357.585,70.139,5.277,-1.419,1018.380,94.314,976.828,92.732,593.996,86.920,37.425
3.000,13574.339,-12389.239,0.000,4710.774,65.340,-4299.708,71.587,0.000,0.000,0.008,-0.031,4701.734,67.740,-4286.314,67.864,0.408,-0.029,1296.519,89.405,1198.054,84.641,592.221,73.771,38.978,-0.014,-0.050,0.060,0.060,4729.284,66.443,-4315.423,73.261,-5.010,1.282,1295.979,89.176,1195.029,84.237,588.565,73.127,38.952,0.007,-0.011,0.060,0.060,4692.011,62.616,-4285.479,71.386,0.360,-2.170,1297.186,89.081,1196.316,84.207,591.254,73.021,38.971
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,0.023,-0.043,4769.440,66.850,-4217.375,69.048,-2.831,-0.732,1709.403,84.587,1499.126,74.622,604.999,58.738,40.921,0.010,-0.044,0.061,0.061,4795.704,65.415,-4241.003,74.422,-5.513,0.892,1708.766,84.407,1495.814,74.183,600.843,58.099,40.895,0.012,-0.025,0.061,0.061,4756.013,61.925,-4211.346,72.807,-4.258,-2.702,1710.121,84.285,1497.019,74.200,603.757,58.024,40.913
5.000,13944.746,-11970.796,0.000,4839.259,63.135,-4154.571,73.539,0.000,0.000,0.038,0.022,4836.926,66.066,-4146.376,70.401,-0.766,-0.156,2254.643,81.210,1857.914,64.745,607.759,45.238,42.940,0.025,0.039,0.061,0.061,4861.188,64.378,-4165.275,75.593,-1.469,1.540,2253.982,81.108,1854.602,64.307,603.394,44.667,42.915,0.014,0.044,0.061,0.061,4819.500,61.216,-4135.417,74.272,-3.007,-1.891,2255.395,80.953,1855.726,64.375,606.513,44.623,42.932
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,-0.002,-0.027,4901.542,64.870,-4076.674,71.204,-2.504,-0.455,2939.970,79.481,2262.927,55.926,596.700,34.399,44.939,-0.022,-0.022,0.061,0.061,4923.240,62.891,-4091.428,76.140,-1.838,1.180,2939.411,79.462,2259.827,55.505,592.384,33.914,44.916,-0.040,-0.027,0.061,0.061,4879.819,60.008,-4061.117,75.087,-5.130,-1.933,2940.708,79.274,2260.924,55.614,595.652,33.890,44.933
7.000,14302.259,-11541.286,0.000,4963.274,60.871,-4005.596,75.424,0.000,0.000,-0.009,-0.007,4965.196,63.718,-4005.911,72.055,-2.439,-0.367,3776.596,79.136,2706.790,48.385,575.688,26.184,46.900,-0.017,0.008,0.060,0.060,4983.933,61.454,-4016.985,76.709,-0.891,1.140,3776.308,79.192,2703.993,47.986,571.586,25.781,46.880,-0.040,-0.003,0.059,0.059,4938.868,58.787,-3986.096,75.874,-5.210,-1.616,3777.245,78.975,2705.150,48.124,574.937,25.769,46.895
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,-0.031,0.022,5027.296,62.512,-3934.925,72.801,-0.515,-0.008,4775.098,79.803,3183.576,42.011,549.380,20.107,48.820,-0.029,0.035,0.058,0.058,5042.801,59.987,-3942.653,77.176,1.575,1.347,4775.284,79.919,3181.070,41.634,545.570,19.774,48.804,-0.053,0.020,0.058,0.058,4996.097,57.480,-3911.156,76.509,-3.296,-1.067,4775.596,79.680,3182.391,41.789,548.944,19.767,48.818
9.000,14646.549,-11101.104,0.000,5082.704,58.551,-3852.921,77.239,0.000,0.000,0.004,0.020,5089.994,61.542,-3860.545,73.947,0.896,0.195,5945.325,81.157,3686.771,36.594,521.159,15.636,50.700,0.021,0.023,0.057,0.057,5102.075,58.783,-3865.208,78.052,3.313,1.402,5946.208,81.321,3684.479,36.238,517.665,15.360,50.686,-0.004,0.006,0.057,0.057,5053.702,56.393,-3833.121,77.508,-1.816,-0.705,5945.633,81.066,3686.071,36.401,521.021,15.355,50.699
