Time    ,Satellite ,Target ,Sender ,Received Alpha ,Received Beta ,Receiver ,Sent Alpha ,Sent Beta
  0.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  1.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  2.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  3.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  4.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  5.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  6.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  7.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  8.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
  9.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
 10.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
 11.000 ,Sat2      ,Targ1  ,       ,               ,              ,         ,           ,
 12.000 ,Sat2      ,Targ1  ,Sat1   ,0.038          ,0.001         ,         ,           ,
 13.000 ,Sat2      ,Targ1  ,Sat1   ,-0.001         ,0.001         ,         ,           ,
 14.000 ,Sat2      ,Targ1  ,Sat1   ,-0.010         ,0.002         ,         ,           ,
 15.000 ,Sat2      ,Targ1  ,Sat1   ,-0.021         ,0.002         ,         ,           ,
 16.000 ,Sat2      ,Targ1  ,Sat1   ,0.027          ,0.020         ,         ,           ,
 17.000 ,Sat2      ,Targ1  ,Sat1   ,-0.006         ,0.009         ,         ,           ,
 18.000 ,Sat2      ,Targ1  ,Sat1   ,0.014          ,-0.005        ,         ,           ,
 19.000 ,Sat2      ,Targ1  ,Sat1   ,0.003          ,0.013         ,         ,           ,
 20.000 ,Sat2      ,Targ1  ,Sat1   ,-0.050         ,-0.009        ,         ,           ,
 21.000 ,Sat2      ,Targ1  ,Sat1   ,-0.016         ,-0.019        ,         ,           ,
 22.000 ,Sat2      ,Targ1  ,Sat1   ,-0.022         ,0.006         ,         ,           ,
 23.000 ,Sat2      ,Targ1  ,Sat1   ,-0.003         ,0.014         ,         ,           ,
 24.000 ,Sat2      ,Targ1  ,Sat1   ,0.001          ,-0.017        ,         ,           ,
 25.000 ,Sat2      ,Targ1  ,Sat1   ,0.006          ,-0.018        ,         ,           ,
 26.000 ,Sat2      ,Targ1  ,Sat1   ,-0.008         ,-0.000        ,         ,           ,
 27.000 ,Sat2      ,Targ1  ,Sat1   ,0.017          ,-0.004        ,         ,           ,
 28.000 ,Sat2      ,Targ1  ,Sat1   ,-0.052         ,0.022         ,         ,           ,
 29.000 ,Sat2      ,Targ1  ,Sat1   ,-0.023         ,-0.000        ,         ,           ,
 30.000 ,Sat2      ,Targ1  ,Sat1   ,-0.010         ,0.005         ,         ,           ,
 31.000 ,Sat2      ,Targ1  ,Sat1   ,0.050          ,0.001         ,         ,           ,
 32.000 ,Sat2      ,Targ1  ,Sat1   ,-0.013         ,-0.005        ,         ,           ,
 33.000 ,Sat2      ,Targ1  ,Sat1   ,-0.034         ,0.010         ,         ,           ,
 34.000 ,Sat2      ,Targ1  ,Sat1   ,-0.008         ,0.025         ,         ,           ,
 35.000 ,Sat2      ,Targ1  ,Sat1   ,0.017          ,0.030         ,         ,           ,
 36.000 ,Sat2      ,Targ1  ,Sat1   ,-0.016         ,0.008         ,Sat1     ,6.741      ,6.957
