Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat3,Targ1,,,,,,
1.000,Sat3,Targ1,,,,,,
2.000,Sat3,Targ1,,,,,,
3.000,Sat3,Targ1,,,,,,
4.000,Sat3,Targ1,,,,,,
5.000,Sat3,Targ1,,,,,,
6.000,Sat3,Targ1,,,,,,
7.000,Sat3,Targ1,,,,,,
8.000,Sat3,Targ1,,,,,,
9.000,Sat3,Targ1,,,,,,
10.000,Sat3,Targ1,,,,,,
11.000,Sat3,Targ1,,,,,,
12.000,Sat3,Targ1,,,,,,
13.000,Sat3,Targ1,,,,,,
14.000,Sat3,Targ1,,,,,,
15.000,Sat3,Targ1,,,,,,
16.000,Sat3,Targ1,,,,,,
17.000,Sat3,Targ1,,,,,,
18.000,Sat3,Targ1,,,,,,
19.000,Sat3,Targ1,,,,,,
20.000,Sat3,Targ1,,,,,,
21.000,Sat3,Targ1,,,,,,
22.000,Sat3,Targ1,,,,,,
23.000,Sat3,Targ1,,,,,,
24.000,Sat3,Targ1,,,,,,
25.000,Sat3,Targ1,,,,,,
26.000,Sat3,Targ1,,,,,,
27.000,Sat3,Targ1,,,,,,
28.000,Sat3,Targ1,,,,,,
29.000,Sat3,Targ1,,,,,,
30.000,Sat3,Targ1,,,,,,
31.000,Sat3,Targ1,,,,,,
32.000,Sat3,Targ1,,,,,,
33.000,Sat3,Targ1,,,,,,
34.000,Sat3,Targ1,,,,,,
35.000,Sat3,Targ1,,,,,,
36.000,Sat3,Targ1,Sat2,6.741,6.957,,,
37.000,Sat3,Targ1,Sat2,6.385,6.533,,,
38.000,Sat3,Targ1,Sat2,5.985,6.126,,,
39.000,Sat3,Targ1,Sat2,5.613,5.713,,,
40.000,Sat3,Targ1,Sat2,5.183,5.278,,,
41.000,Sat3,Targ1,Sat2,4.767,4.835,,,
42.000,Sat3,Targ1,Sat2,4.373,4.389,,,
43.000,Sat3,Targ1,Sat2,3.935,3.942,,,
44.000,Sat3,Targ1,Sat2,3.517,3.471,,,
45.000,Sat3,Targ1,Sat2,3.000,3.057,,,
46.000,Sat3,Targ1,Sat2,2.592,2.638,,,
47.000,Sat3,Targ1,Sat2,2.171,2.154,,,
48.000,Sat3,Targ1,Sat2,1.691,1.715,,,
49.000,Sat3,Targ1,Sat2,1.229,1.247,,,
50.000,Sat3,Targ1,Sat2,0.776,0.773,,,
51.000,Sat3,Targ1,Sat2,0.327,0.326,,,
52.000,Sat3,Targ1,Sat1,-0.014,-0.009,,,
53.000,Sat3,Targ1,Sat1,-0.034,0.011,,,
54.000,Sat3,Targ1,Sat1,0.004,0.026,,,
55.000,Sat3,Targ1,Sat1,-0.015,0.033,,,
56.000,Sat3,Targ1,Sat1,-0.014,-0.035,,,
57.000,Sat3,Targ1,Sat1,-0.014,0.009,,,
58.000,Sat3,Targ1,Sat1,-0.003,-0.025,,,
59.000,Sat3,Targ1,Sat1,0.004,0.008,,,
60.000,Sat3,Targ1,Sat1,-0.022,0.023,,,
61.000,Sat3,Targ1,Sat1,-0.029,0.025,,,
62.000,Sat3,Targ1,Sat1,-0.056,0.010,,,
63.000,Sat3,Targ1,Sat1,-0.001,0.024,,,
64.000,Sat3,Targ1,Sat1,-0.007,-0.014,,,
65.000,Sat3,Targ1,Sat1,-0.014,0.035,,,
66.000,Sat3,Targ1,Sat1,0.006,0.014,,,
67.000,Sat3,Targ1,Sat1,-0.025,0.002,,,
68.000,Sat3,Targ1,Sat1,-0.025,0.019,,,
