Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Meas_alpha,ET_Meas_beta
36.000,17859.904,-0.000,-4333.561,6197.722,22.881,-1505.700,94.183,0.000,0.000,6.747,6.945,6213.705,37.899,-1501.059,95.366,20.452,-9.772,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6205.599,23.456,-1515.660,100.614,22.663,1.582,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,6212.722,34.322,-1490.700,141.275,15.000,0.000,625.000,100.000,625.000,100.000,625.000,100.000,6.747,6.945
37.000,17923.726,-0.000,-4061.522,6219.886,21.447,-1411.346,94.520,0.000,0.000,6.371,6.537,6244.505,35.835,-1407.939,95.930,-8.485,-11.566,968.519,98.941,14.221,91.804,118.035,92.702,27.057,-0.093,0.011,0.024,0.024,6222.974,20.414,-1409.859,99.904,-0.261,-1.454,3.170,90.922,0.199,90.839,0.265,90.857,6.622,-0.118,-0.020,0.024,0.024,6244.381,31.104,-1396.520,135.881,-3.717,-2.416,700.769,99.751,157.609,90.779,217.452,91.740,6.371,6.537
38.000,17983.404,-0.000,-3788.544,6240.615,20.009,-1316.667,94.835,0.000,0.000,5.983,6.126,6279.411,36.291,-1312.771,95.840,-12.865,-5.155,1243.270,91.014,15.802,1.846,129.102,9.059,28.453,0.032,0.005,0.002,0.002,6247.307,23.431,-1315.252,94.848,-1.347,-1.059,3.516,6.404,0.196,0.490,0.261,0.624,6.728,0.003,0.033,0.002,0.002,6254.677,27.692,-1303.986,136.011,15.000,0.000,747.062,100.674,171.126,90.857,1265.677,109.198,nan,6.126
39.000,18038.926,-0.000,-3514.691,6259.902,18.565,-1221.684,95.128,0.000,0.000,5.586,5.702,6316.247,34.684,-1215.721,97.013,-17.588,-4.617,1543.455,69.852,17.090,1.346,138.101,5.912,29.711,0.004,-0.004,0.000,0.000,6265.532,19.365,-1220.056,95.259,-1.180,-0.338,3.368,1.855,0.167,0.156,0.222,0.193,6.591,-0.006,0.001,0.000,0.000,6271.238,22.362,-1200.277,124.755,14.454,-0.062,939.748,98.515,120.887,67.971,5087.894,169.878,nan,5.702
40.000,18090.278,-0.000,-3240.025,6277.744,17.118,-1126.418,95.399,0.000,0.000,5.185,5.276,6302.364,21.051,-1124.092,95.726,-6.908,-0.716,1452.753,32.711,13.838,0.725,110.548,2.592,28.941,0.012,0.006,0.000,0.000,6285.080,18.280,-1124.686,95.553,-0.970,-0.111,3.216,0.837,0.146,0.087,0.196,0.102,6.472,-0.000,0.006,0.000,0.000,6290.438,19.101,-1107.493,113.833,14.808,-0.041,1347.000,94.651,123.138,43.627,24592.688,456.197,nan,5.276
41.000,18137.447,-0.000,-2964.610,6294.136,15.666,-1030.892,95.648,0.000,0.000,4.770,4.846,6307.671,16.748,-1030.175,95.508,-3.542,-0.012,1287.978,14.080,10.339,0.376,81.920,1.203,27.757,0.001,0.004,0.000,0.000,6302.931,16.922,-1029.463,95.688,-1.254,-0.167,3.146,0.476,0.133,0.063,0.177,0.071,6.398,-0.005,0.008,0.000,0.000,6310.246,17.167,-1016.960,107.264,22.311,0.780,2289.204,92.342,129.573,28.799,121645.281,1628.401,4.770,4.846
42.000,18180.424,-0.000,-2688.510,6309.074,14.211,-935.129,95.875,0.000,0.000,4.348,4.404,6335.004,16.950,-932.877,96.184,-6.150,-0.295,1177.024,6.802,7.792,0.230,61.344,0.753,26.812,0.000,-0.005,0.000,0.000,6317.623,15.077,-933.372,96.004,-0.999,-0.052,3.161,0.316,0.125,0.053,0.163,0.058,6.368,-0.005,0.001,0.000,0.000,6323.646,15.057,-925.215,104.343,-5.791,-2.186,1859.899,78.980,104.565,22.973,713.858,61.984,nan,4.404
43.000,18219.198,-0.000,-2411.788,6322.556,12.752,-839.149,96.080,0.000,0.000,3.915,3.965,6345.482,14.858,-837.500,96.265,-5.426,-0.268,1106.863,3.752,5.897,0.167,46.229,0.602,26.076,-0.001,0.004,0.000,0.000,6332.282,13.685,-837.227,96.247,-1.347,-0.126,3.260,0.234,0.120,0.049,0.153,0.051,6.379,-0.008,0.007,0.000,0.000,6337.513,13.282,-829.993,102.663,-8.071,-2.203,2378.029,73.314,96.658,18.654,3004.773,123.128,nan,3.965
44.000,18253.761,-0.000,-2134.509,6334.577,11.291,-742.976,96.263,0.000,0.000,3.482,3.520,6345.218,11.742,-742.660,96.164,-2.334,0.085,1066.539,2.334,4.469,0.136,34.764,0.545,25.509,0.005,0.004,0.000,0.000,6346.306,12.422,-741.166,96.404,-1.407,-0.104,3.449,0.188,0.117,0.047,0.145,0.048,6.425,-0.003,0.009,0.000,0.000,6352.108,11.880,-735.097,101.380,-12.746,-2.557,3274.686,69.980,93.460,15.606,13270.662,344.181,nan,3.520
45.000,18284.103,-0.000,-1856.737,6345.136,9.826,-646.631,96.423,0.000,0.000,3.039,3.067,6360.505,10.671,-645.809,96.461,-2.966,0.061,1043.720,1.600,3.343,0.119,25.700,0.521,25.045,-0.000,-0.002,0.000,0.000,6357.555,10.883,-644.750,96.572,-1.340,-0.067,3.737,0.163,0.115,0.046,0.139,0.046,6.505,-0.005,0.005,0.000,0.000,6366.500,10.599,-640.084,100.469,-22.820,-3.552,5188.211,70.620,91.544,13.576,56492.984,1065.525,3.039,3.067
