Time   ,x_sat     ,y_sat     ,z_sat ,True_x   ,True_vx ,True_y    ,True_vy ,True_z ,True_vz ,InTrackAngle ,CrossTrackAngle ,Est_x    ,Est_vx ,Est_y     ,Est_vy ,Est_z  ,Est_vz ,Cov_xx    ,Cov_vxvx ,Cov_yy   ,Cov_vyvy ,Cov_zz   ,Cov_vzvz ,Track Error ,Innovation_ITA ,Innovation_CTA ,InnovationCov_ITA ,InnovationCov_CTA ,DDF_Est_x ,DDF_Est_vx ,DDF_Est_y ,DDF_Est_vy ,DDF_Est_z ,DDF_Est_vz ,DDF_Cov_xx ,DDF_Cov_vxvx ,DDF_Cov_yy ,DDF_Cov_vyvy ,DDF_Cov_zz ,DDF_Cov_vzvz ,DDF Track Error ,DDF_Innovation_ITA ,DDF_Innovation_CTA ,DDF_InnovationCov_ITA ,DDF_InnovationCov_CTA ,ET_Est_x ,ET_Est_vx ,ET_Est_y  ,ET_Est_vy ,ET_Est_z ,ET_Est_vz ,ET_Cov_xx ,ET_Cov_vxvx ,ET_Cov_yy ,ET_Cov_vyvy ,ET_Cov_zz ,ET_Cov_vzvz ,ET_Meas_alpha ,ET_Meas_beta
36.000 ,17859.904 ,-4333.561 ,0.000 ,6197.722 , 22.881 ,-1505.700 , 94.183 , 0.000 ,  0.000 ,       0.009 ,-0.001          ,6207.153 ,29.309 ,-1503.840 ,93.951 ,-4.438 , 2.304 , 1000.000 , 100.000 ,1000.000 , 100.000 ,1000.000 , 100.000 ,     38.960 ,0.000          ,0.000          ,            1.000 ,            1.000 , 6199.763 ,    24.837 ,-1504.041 ,    94.400 ,-16.293   ,-0.852     ,  1000.000 ,     100.000 ,  1000.000 ,     100.000 ,  1000.000 ,     100.000 ,         38.960 ,0.000              ,0.000              ,                1.000 ,                1.000 ,6212.722 ,   34.322 ,-1490.700 ,  141.275 ,15.000   ,0.000     ,  625.000 ,    100.000 ,  625.000 ,    100.000 ,  625.000 ,    100.000 ,        0.009 ,-0.001
37.000 ,17923.726 ,-4061.522 ,0.000 ,6219.886 , 21.447 ,-1411.346 , 94.520 , 0.000 ,  0.000 ,       0.007 ,0.001           ,6235.346 ,27.847 ,-1411.393 ,94.323 ,-0.144 , 2.490 , 1047.308 ,  99.666 ,  70.257 ,  91.758 ,  17.228 ,  91.409 ,     26.801 ,-0.009         ,-0.010         ,            0.026 ,            0.026 , 6224.994 ,    22.144 ,-1409.895 ,    94.257 ,-0.977    ,1.452      ,   246.456 ,      92.951 ,    19.316 ,      91.079 ,    24.067 ,      91.141 ,         20.000 ,0.003              ,-0.081             ,                0.025 ,                0.025 ,6233.780 ,   29.740 ,-1399.151 ,  135.509 ,2.857    ,-1.567    ,  742.950 ,    100.612 ,  175.243 ,     90.919 ,  142.862 ,     90.497 ,        0.007 ,0.001
38.000 ,17983.404 ,-3788.544 ,0.000 ,6240.615 , 20.009 ,-1316.667 , 94.835 , 0.000 ,  0.000 ,       0.008 ,-0.001          ,6262.426 ,26.318 ,-1317.473 ,94.298 ,0.221  , 0.725 , 1339.051 ,  97.775 ,  74.939 ,  27.113 ,  15.124 ,  24.652 ,     28.040 ,-0.004         ,-0.012         ,            0.003 ,            0.003 , 6246.907 ,    20.774 ,-1315.286 ,    94.764 ,-0.677    ,0.559      ,   187.258 ,      74.252 ,    16.543 ,      25.686 ,    19.669 ,      26.667 ,         18.841 ,0.006              ,-0.003             ,                0.003 ,                0.003 ,6262.746 ,   25.885 ,-1304.668 ,  122.386 ,-3.047   ,-3.040    ,  853.182 ,     94.580 ,   77.965 ,     63.142 ,  119.027 ,     68.191 ,        0.008 ,nan
39.000 ,18038.926 ,-3514.691 ,0.000 ,6259.902 , 18.565 ,-1221.684 , 95.128 , 0.000 ,  0.000 ,       0.015 ,-0.001          ,6288.092 ,24.954 ,-1222.223 ,95.183 ,-0.032 , 0.165 , 1828.870 ,  98.272 ,  83.445 ,  10.042 ,  13.772 ,   7.881 ,     29.829 ,0.004          ,-0.006         ,            0.002 ,            0.002 , 6267.228 ,    19.410 ,-1219.666 ,    95.484 ,-0.883    ,0.133      ,   198.141 ,      52.993 ,    14.999 ,       8.280 ,    17.981 ,       9.176 ,         18.842 ,0.012              ,-0.002             ,                0.002 ,                0.002 ,6286.523 ,   23.276 ,-1209.667 ,  112.578 ,-1.368   ,-1.447    , 1163.820 ,     90.133 ,   69.036 ,     41.000 ,  136.171 ,     47.898 ,        0.015 ,nan
40.000 ,18090.278 ,-3240.025 ,0.000 ,6277.744 , 17.118 ,-1126.418 , 95.399 , 0.000 ,  0.000 ,       0.011 ,-0.001          ,6312.244 ,23.462 ,-1127.734 ,95.263 ,-0.085 , 0.073 , 2517.622 ,  99.112 ,  92.967 ,   4.892 ,  11.915 ,   3.376 ,     31.817 ,-0.007         ,-0.002         ,            0.001 ,            0.001 , 6285.964 ,    17.969 ,-1124.447 ,    95.608 ,-0.870    ,0.084      ,   217.872 ,      36.203 ,    12.940 ,       3.532 ,    15.891 ,       4.149 ,         18.908 ,0.003              ,-0.004             ,                0.001 ,                0.001 ,6303.203 ,   20.495 ,-1116.659 ,  106.597 ,-1.011   ,-0.916    , 1517.215 ,     83.779 ,   65.766 ,     27.642 ,  138.591 ,     33.136 ,        0.011 ,nan
41.000 ,18137.447 ,-2964.610 ,0.000 ,6294.136 , 15.666 ,-1030.892 , 95.648 , 0.000 ,  0.000 ,       0.015 ,-0.001          ,6334.982 ,22.018 ,-1032.300 ,95.688 ,0.128  , 0.120 , 3407.575 ,  99.910 , 101.712 ,   2.695 ,  10.342 ,   1.749 ,     33.865 ,-0.000         ,-0.001         ,            0.001 ,            0.001 , 6302.884 ,    16.428 ,-1028.388 ,    95.981 ,-0.892    ,0.046      ,   234.709 ,      25.054 ,    11.184 ,       1.823 ,    13.959 ,       2.216 ,         18.932 ,0.007              ,-0.005             ,                0.001 ,                0.001 ,6325.187 ,   19.251 ,-1018.688 ,  104.690 ,-5.847   ,-1.872    , 1439.378 ,     65.473 ,   92.021 ,     23.369 ,  149.264 ,     25.441 ,        0.015 ,nan
42.000 ,18180.424 ,-2688.510 ,0.000 ,6309.074 , 14.211 ,-935.129  , 95.875 , 0.000 ,  0.000 ,       0.012 ,0.001           ,6356.235 ,20.559 ,-936.952  ,95.959 ,0.219  , 0.112 , 4500.551 , 100.596 , 107.912 ,   1.560 ,   9.094 ,   1.030 ,     35.886 ,-0.005         ,-0.000         ,            0.001 ,            0.001 , 6319.210 ,    15.107 ,-932.705  ,    96.127 ,-0.952    ,0.021      ,   249.768 ,      18.004 ,     9.783 ,       1.077 ,    12.284 ,       1.321 ,         18.947 ,0.002              ,-0.003             ,                0.001 ,                0.001 ,6330.441 ,   15.870 ,-927.892  ,  101.734 ,-1.946   ,-0.668    , 1541.011 ,     56.501 ,   63.262 ,     16.491 ,  125.785 ,     19.008 ,        0.012 ,nan
43.000 ,18219.198 ,-2411.788 ,0.000 ,6322.556 , 12.752 ,-839.149  , 96.080 , 0.000 ,  0.000 ,       0.013 ,0.001           ,6376.053 ,19.104 ,-841.034  ,96.301 ,0.269  , 0.098 , 5797.883 , 101.152 , 110.141 ,   0.953 ,   8.105 ,   0.665 ,     37.839 ,-0.002         ,-0.001         ,            0.001 ,            0.001 , 6333.798 ,    13.684 ,-836.553  ,    96.341 ,-0.987    ,0.009      ,   265.688 ,      13.518 ,     8.666 ,       0.706 ,    10.858 ,       0.852 ,         18.990 ,0.004              ,-0.004             ,                0.001 ,                0.001 ,6342.982 ,   14.014 ,-833.082  ,  100.604 ,-1.002   ,-0.374    , 1896.896 ,     53.827 ,   57.768 ,     13.777 ,  122.228 ,     15.841 ,        0.013 ,nan
44.000 ,18253.761 ,-2134.509 ,0.000 ,6334.577 , 11.291 ,-742.976  , 96.263 , 0.000 ,  0.000 ,       0.013 ,-0.002          ,6394.407 ,17.643 ,-744.745  ,96.636 ,0.021  , 0.028 , 7300.334 , 101.572 , 107.600 ,   0.689 ,   7.312 ,   0.462 ,     39.703 ,-0.002         ,-0.004         ,            0.001 ,            0.001 , 6346.461 ,    12.165 ,-740.280  ,    96.513 ,-0.830    ,0.039      ,   284.639 ,      10.597 ,     7.769 ,       0.506 ,     9.643 ,       0.585 ,         19.085 ,0.003              ,-0.007             ,                0.001 ,                0.001 ,6356.483 ,   12.519 ,-737.713  ,   99.913 ,-0.148   ,-0.173    , 2341.346 ,     52.167 ,   55.757 ,     12.238 ,  121.446 ,     13.844 ,        0.013 ,nan
45.000 ,18284.103 ,-1856.737 ,0.000 ,6345.136 ,  9.826 ,-646.631  , 96.423 , 0.000 ,  0.000 ,       0.010 ,0.001           ,6411.297 ,16.179 ,-648.356  ,96.913 ,0.117  , 0.041 , 9008.130 , 101.854 , 100.039 ,   0.690 ,   6.667 ,   0.340 ,     41.472 ,-0.005         ,0.001          ,            0.001 ,            0.001 , 6358.196 ,    10.738 ,-643.958  ,    96.654 ,-0.763    ,0.046      ,   308.413 ,       8.648 ,     7.039 ,       0.390 ,     8.601 ,       0.423 ,         19.245 ,0.000              ,-0.003             ,                0.001 ,                0.001 ,6368.480 ,   11.007 ,-640.901  ,   99.610 ,-1.918   ,-0.411    , 2262.954 ,     43.253 ,   77.714 ,     12.163 ,  117.584 ,     12.425 ,        0.010 ,nan
46.000 ,18310.219 ,-1578.535 ,0.000 ,6354.230 ,  8.360 ,-550.136  , 96.562 , 0.000 ,  0.000 ,       0.009 ,0.005           ,6426.747 ,14.714 ,-551.611  ,97.191 ,0.473  , 0.092 ,10920.928 , 101.997 ,  87.763 ,   0.921 ,   6.137 ,   0.263 ,     43.146 ,-0.005         ,0.004          ,            0.001 ,            0.001 , 6368.997 ,     9.376 ,-547.480  ,    96.790 ,-0.968    ,0.007      ,   338.713 ,       7.324 ,     6.439 ,       0.322 ,     7.696 ,       0.319 ,         19.480 ,0.000              ,0.002              ,                0.001 ,                0.001 ,6375.382 ,    9.149 ,-545.906  ,   99.057 ,-1.454   ,-0.290    , 2493.881 ,     40.299 ,   57.254 ,     10.718 ,  112.733 ,     11.441 ,        0.009 ,nan
47.000 ,18332.103 ,-1299.968 ,0.000 ,6361.856 ,  6.892 ,-453.515  , 96.677 , 0.000 ,  0.000 ,       0.013 ,0.006           ,6440.746 ,13.242 ,-454.158  ,97.516 ,0.767  , 0.122 ,13037.801 , 101.999 ,  71.672 ,   1.365 ,   5.697 ,   0.213 ,     44.728 ,0.002          ,0.003          ,            0.001 ,            0.001 , 6379.117 ,     8.086 ,-450.550  ,    96.970 ,-1.182    ,-0.023     ,   377.418 ,       6.416 ,     5.941 ,       0.282 ,     6.902 ,       0.251 ,         19.796 ,0.006              ,0.001              ,                0.001 ,                0.001 ,6384.559 ,    7.708 ,-449.402  ,   98.843 ,-1.369   ,-0.240    , 2969.816 ,     40.044 ,   53.272 ,     10.182 ,  114.053 ,     10.848 ,        0.013 ,nan
48.000 ,18349.748 ,-1021.101 ,0.000 ,6368.013 ,  5.422 ,-356.789  , 96.771 , 0.000 ,  0.000 ,       0.015 ,-0.001          ,6453.192 ,11.757 ,-356.366  ,97.819 ,0.526  , 0.072 ,15357.267 , 101.861 ,  53.252 ,   2.010 ,   5.329 ,   0.178 ,     46.222 ,0.002          ,-0.006         ,            0.001 ,            0.001 , 6386.788 ,     6.637 ,-353.416  ,    97.118 ,-0.856    ,0.026      ,   426.651 ,       5.798 ,     5.525 ,       0.261 ,     6.200 ,       0.204 ,         20.197 ,0.006              ,-0.007             ,                0.001 ,                0.001 ,6394.348 ,    6.450 ,-352.840  ,   98.683 ,-0.303   ,-0.074    , 3574.819 ,     40.515 ,   52.116 ,      9.910 ,  115.784 ,     10.424 ,        0.015 ,nan
