Time   ,x_sat     ,y_sat  ,z_sat     ,True_x   ,True_vx ,True_y    ,True_vy ,True_z ,True_vz ,InTrackAngle ,CrossTrackAngle ,Est_x    ,Est_vx ,Est_y     ,Est_vy ,Est_z  ,Est_vz ,Cov_xx   ,Cov_vxvx ,Cov_yy   ,Cov_vyvy ,Cov_zz   ,Cov_vzvz ,Track Error ,Innovation_ITA ,Innovation_CTA ,InnovationCov_ITA ,InnovationCov_CTA ,DDF_Est_x ,DDF_Est_vx ,DDF_Est_y ,DDF_Est_vy ,DDF_Est_z ,DDF_Est_vz ,DDF_Cov_xx ,DDF_Cov_vxvx ,DDF_Cov_yy ,DDF_Cov_vyvy ,DDF_Cov_zz ,DDF_Cov_vzvz ,DDF Track Error ,DDF_Innovation_ITA ,DDF_Innovation_CTA ,DDF_InnovationCov_ITA ,DDF_InnovationCov_CTA ,ET_Est_x ,ET_Est_vx ,ET_Est_y  ,ET_Est_vy ,ET_Est_z ,ET_Est_vz ,ET_Cov_xx ,ET_Cov_vxvx ,ET_Cov_yy ,ET_Cov_vyvy ,ET_Cov_zz  ,ET_Cov_vzvz ,ET_Meas_alpha ,ET_Meas_beta
36.000 ,17859.904 ,-0.000 ,-4333.561 ,6197.722 , 22.881 ,-1505.700 , 94.183 , 0.000 ,  0.000 ,       6.744 ,          6.950 ,6211.233 ,18.944 ,-1508.215 ,80.304 ,5.658  , 3.424 ,1000.000 , 100.000 ,1000.000 , 100.000 ,1000.000 , 100.000 ,     38.960 ,0.000          ,0.000          ,            1.000 ,            1.000 , 6197.312 ,    21.500 ,-1500.624 ,    93.709 ,-13.153   ,1.349      ,  1000.000 ,     100.000 ,  1000.000 ,     100.000 ,  1000.000 ,     100.000 ,         38.960 ,0.000              ,             0.000 ,                1.000 ,                1.000 ,6212.722 ,   34.322 ,-1490.700 ,  141.275 ,15.000   ,0.000     ,  625.000 ,    100.000 ,  625.000 ,    100.000 ,   625.000 ,    100.000 ,6.744         ,       6.950
37.000 ,17923.726 ,-0.000 ,-4061.522 ,6219.886 , 21.447 ,-1411.346 , 94.520 , 0.000 ,  0.000 ,       6.372 ,          6.540 ,6224.120 ,17.379 ,-1411.231 ,82.036 ,-1.011 , 2.506 , 970.646 ,  98.927 ,  32.586 ,  91.174 , 133.773 ,  91.993 ,     27.837 ,-0.053         ,-0.079         ,            0.024 ,            0.024 , 6224.994 ,    22.144 ,-1409.895 ,    94.257 ,-0.977    ,1.452      ,   246.456 ,      92.951 ,    19.316 ,      91.079 ,    24.067 ,      91.141 ,         20.000 ,0.055              ,             0.021 ,                0.024 ,                0.024 ,6244.476 ,   31.117 ,-1396.945 ,  135.826 ,-3.587   ,-2.399    ,  700.769 ,     99.751 ,  157.608 ,     90.779 ,   217.452 ,     91.740 ,6.372         ,       6.540
38.000 ,17983.404 ,-0.000 ,-3788.544 ,6240.615 , 20.009 ,-1316.667 , 94.835 , 0.000 ,  0.000 ,       5.986 ,          6.126 ,6240.897 ,15.144 ,-1318.663 ,90.674 ,0.333  , 1.873 ,1245.599 ,  93.005 ,  32.097 ,  26.629 , 146.662 ,  31.911 ,     29.139 ,-0.006         ,-0.056         ,            0.003 ,            0.003 , 6246.906 ,    20.774 ,-1315.285 ,    94.764 ,-0.677    ,0.559      ,   187.258 ,      74.252 ,    16.543 ,      25.686 ,    19.669 ,      26.667 ,         18.841 ,-0.009             ,             0.004 ,                0.003 ,                0.003 ,6254.643 ,   27.688 ,-1304.143 ,  135.990 ,15.000   ,0.000     ,  747.062 ,    100.674 ,  171.126 ,     90.857 ,  1265.677 ,    109.198 ,nan           ,       6.126
39.000 ,18038.926 ,-0.000 ,-3514.691 ,6259.902 , 18.565 ,-1221.684 , 95.128 , 0.000 ,  0.000 ,       5.586 ,          5.704 ,6256.095 ,13.656 ,-1223.457 ,93.304 ,0.867  , 1.281 ,1707.960 ,  92.083 ,  33.659 ,   9.601 , 168.501 ,  14.949 ,     31.012 ,-0.006         ,-0.026         ,            0.002 ,            0.002 , 6267.228 ,    19.409 ,-1219.666 ,    95.484 ,-0.883    ,0.133      ,   198.141 ,      52.993 ,    14.999 ,       8.280 ,    17.981 ,       9.176 ,         18.842 ,-0.011             ,             0.004 ,                0.002 ,                0.002 ,6271.602 ,   22.449 ,-1199.384 ,  125.137 ,14.472   ,-0.060    ,  939.742 ,     98.515 ,  120.887 ,     67.971 ,  5087.895 ,    169.875 ,nan           ,       5.704
40.000 ,18090.278 ,-0.000 ,-3240.025 ,6277.744 , 17.118 ,-1126.418 , 95.399 , 0.000 ,  0.000 ,       5.184 ,          5.277 ,6270.100 ,12.450 ,-1128.254 ,94.181 ,2.004  , 1.293 ,2334.971 ,  91.057 ,  35.602 ,   5.081 , 193.328 ,   9.441 ,     33.032 ,0.001          ,-0.012         ,            0.001 ,            0.001 , 6285.966 ,    17.969 ,-1124.447 ,    95.608 ,-0.870    ,0.084      ,   217.872 ,      36.203 ,    12.940 ,       3.532 ,    15.891 ,       4.149 ,         18.908 ,-0.007             ,             0.009 ,                0.001 ,                0.001 ,6291.606 ,   19.287 ,-1107.197 ,  113.919 ,15.040   ,-0.017    , 1346.992 ,     94.651 ,  123.144 ,     43.630 , 24592.875 ,    456.252 ,nan           ,       5.277
41.000 ,18137.447 ,-0.000 ,-2964.610 ,6294.136 , 15.666 ,-1030.892 , 95.648 , 0.000 ,  0.000 ,       4.769 ,          4.840 ,6285.292 ,11.643 ,-1032.057 ,94.913 ,2.082  , 1.048 ,3052.026 ,  87.291 ,  37.746 ,   3.495 , 212.811 ,   6.650 ,     34.866 ,-0.002         ,-0.013         ,            0.001 ,            0.001 , 6302.884 ,    16.428 ,-1028.388 ,    95.981 ,-0.892    ,0.046      ,   234.709 ,      25.054 ,    11.184 ,       1.823 ,    13.959 ,       2.216 ,         18.932 ,-0.008             ,             0.003 ,                0.001 ,                0.001 ,6312.567 ,   17.514 ,-1016.311 ,  107.463 ,23.572   ,0.913     , 2288.866 ,     92.328 ,  129.572 ,     28.803 ,121648.297 ,   1628.846 ,4.769         ,       4.840
42.000 ,18180.424 ,-0.000 ,-2688.510 ,6309.074 , 14.211 ,-935.129  , 95.875 , 0.000 ,  0.000 ,       4.350 ,          4.406 ,6297.767 ,10.453 ,-936.495  ,95.178 ,2.794  , 1.007 ,3693.381 ,  78.831 ,  38.573 ,   2.748 , 216.221 ,   4.719 ,     36.153 ,0.000          ,-0.004         ,            0.001 ,            0.001 , 6319.208 ,    15.107 ,-932.705  ,    96.126 ,-0.952    ,0.021      ,   249.768 ,      18.004 ,     9.783 ,       1.077 ,    12.284 ,       1.321 ,         18.947 ,-0.005             ,             0.010 ,                0.001 ,                0.001 ,6324.951 ,   15.192 ,-924.281  ,  104.529 ,-6.296   ,-2.242    , 1859.707 ,     78.976 ,  104.573 ,     22.978 ,   713.988 ,     62.010 ,nan           ,       4.406
43.000 ,18219.198 ,-0.000 ,-2411.788 ,6322.556 , 12.752 ,-839.149  , 96.080 , 0.000 ,  0.000 ,       3.920 ,          3.962 ,6313.579 , 9.856 ,-840.029  ,95.562 ,2.165  , 0.786 ,4057.830 ,  65.667 ,  36.817 ,   2.233 , 197.702 ,   3.230 ,     36.623 ,-0.003         ,-0.007         ,            0.001 ,            0.001 , 6333.792 ,    13.684 ,-836.553  ,    96.341 ,-0.987    ,0.009      ,   265.688 ,      13.518 ,     8.666 ,       0.706 ,    10.858 ,       0.852 ,         18.990 ,-0.006             ,             0.007 ,                0.001 ,                0.001 ,6339.996 ,   13.562 ,-829.741  ,  102.694 ,-9.088   ,-2.323    , 2378.395 ,     73.316 ,   96.669 ,     18.661 ,  3005.637 ,    123.223 ,nan           ,       3.962
44.000 ,18253.761 ,-0.000 ,-2134.509 ,6334.577 , 11.291 ,-742.976  , 96.263 , 0.000 ,  0.000 ,       3.482 ,          3.517 ,6329.115 , 9.195 ,-743.548  ,95.852 ,1.228  , 0.575 ,4048.669 ,  50.320 ,  32.443 ,   1.779 , 161.789 ,   2.141 ,     36.231 ,-0.005         ,-0.004         ,            0.001 ,            0.001 , 6346.462 ,    12.164 ,-740.280  ,    96.513 ,-0.830    ,0.039      ,   284.639 ,      10.597 ,     7.769 ,       0.506 ,     9.643 ,       0.585 ,         19.085 ,-0.007             ,             0.010 ,                0.001 ,                0.001 ,6353.833 ,   12.028 ,-734.672  ,  101.431 ,-12.949  ,-2.544    , 3275.674 ,     69.980 ,   93.472 ,     15.612 , 13273.136 ,    344.451 ,nan           ,       3.517
45.000 ,18284.103 ,-0.000 ,-1856.737 ,6345.136 ,  9.826 ,-646.631  , 96.423 , 0.000 ,  0.000 ,       3.044 ,          3.066 ,6341.031 , 8.119 ,-647.040  ,96.072 ,1.167  , 0.522 ,3753.409 ,  36.189 ,  26.790 ,   1.378 , 120.577 ,   1.434 ,     35.196 ,-0.000         ,-0.004         ,            0.001 ,            0.001 , 6358.201 ,    10.738 ,-643.958  ,    96.654 ,-0.764    ,0.046      ,   308.413 ,       8.648 ,     7.039 ,       0.390 ,     8.601 ,       0.423 ,         19.245 ,-0.003             ,             0.009 ,                0.001 ,                0.001 ,6367.245 ,   10.628 ,-639.693  ,  100.494 ,-20.862  ,-3.254    , 5190.734 ,     70.632 ,   91.568 ,     13.581 , 56488.461 ,   1066.072 ,3.044         ,       3.066
