Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,0.024,-0.009,4517.809,69.041,-4523.981,69.570,16.672,1.394,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4491.783,69.833,-4510.411,70.527,-0.938,0.578,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4465.490,69.777,-4503.616,69.329,-33.761,-0.813,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
1.000,13191.381,-12796.225,0.000,4577.938,67.485,-4440.874,69.568,0.000,0.000,0.016,-0.007,4588.151,68.127,-4451.973,70.792,10.531,0.709,894.548,98.367,881.381,98.149,675.507,96.476,37.005,0.033,-0.093,0.065,0.065,4564.816,69.054,-4435.467,71.958,-0.784,0.540,895.399,98.368,881.766,98.143,676.730,96.470,37.015,0.067,-0.005,0.065,0.065,4542.264,69.368,-4425.894,71.128,-21.862,0.342,896.378,98.392,881.775,98.162,677.730,96.514,37.023
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,0.020,-0.005,4656.640,67.183,-4379.677,72.004,7.073,-0.026,1017.171,94.384,976.269,92.793,592.130,87.043,37.411,0.019,-0.059,0.060,0.060,4634.785,68.167,-4361.375,73.313,-0.527,0.490,1018.255,94.400,976.805,92.788,593.699,87.049,37.423,0.031,-0.004,0.060,0.060,4614.582,68.848,-4350.428,72.892,-14.631,1.556,1019.605,94.449,976.750,92.828,595.010,87.137,37.433
3.000,13574.339,-12389.239,0.000,4710.774,65.340,-4299.708,71.587,0.000,0.000,0.025,-0.013,4723.813,66.176,-4306.540,73.163,3.786,-0.729,1295.785,89.175,1195.866,84.249,589.198,73.139,38.957,0.012,-0.046,0.060,0.060,4702.828,67.094,-4287.014,74.484,-0.914,0.301,1296.963,89.217,1196.585,84.243,590.989,73.165,38.970,0.010,-0.012,0.060,0.060,4684.509,68.032,-4275.123,74.387,-9.577,2.309,1298.549,89.283,1196.529,84.298,592.516,73.283,38.981
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,0.013,0.038,4788.906,64.928,-4233.479,74.034,4.717,-0.366,1708.484,84.404,1496.796,74.201,601.536,58.114,40.900,-0.011,0.023,0.061,0.061,4768.307,65.693,-4213.218,75.252,2.310,0.938,1709.690,84.478,1497.764,74.188,603.499,58.156,40.913,-0.022,0.041,0.061,0.061,4751.525,66.752,-4200.708,75.348,-2.060,3.444,1711.398,84.555,1497.796,74.244,605.201,58.284,40.924
5.000,13944.746,-11970.796,0.000,4839.259,63.135,-4154.571,73.539,0.000,0.000,-0.021,0.009,4851.125,63.362,-4161.602,74.458,3.495,-0.542,2253.733,81.101,1855.570,64.330,604.129,44.684,42.919,-0.047,-0.012,0.061,0.061,4830.533,63.943,-4141.009,75.512,2.775,0.841,2254.940,81.205,1856.812,64.302,606.216,44.733,42.932,-0.063,-0.007,0.061,0.061,4814.946,65.020,-4128.204,75.682,1.554,3.479,2256.656,81.292,1857.003,64.347,608.018,44.855,42.943
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,-0.081,-0.001,4909.836,61.497,-4091.980,74.375,1.861,-0.747,2939.787,79.443,2260.085,55.530,593.136,33.931,44.920,-0.094,-0.015,0.061,0.060,4888.994,61.901,-4071.342,75.251,2.301,0.594,2941.029,79.574,2261.564,55.484,595.289,33.979,44.933,-0.113,-0.019,0.060,0.060,4874.311,62.940,-4058.526,75.421,3.239,3.142,2942.681,79.670,2261.948,55.512,597.114,34.087,44.943
7.000,14302.259,-11541.286,0.000,4963.274,60.871,-4005.596,75.424,0.000,0.000,0.022,-0.029,4972.563,60.645,-4014.683,75.730,-1.245,-1.151,3778.036,79.150,2702.654,48.018,572.333,25.796,46.883,0.045,-0.034,0.059,0.059,4951.356,60.900,-3994.191,76.438,-0.047,0.091,3779.408,79.302,2704.292,47.955,574.499,25.840,46.895,0.026,-0.043,0.059,0.059,4937.393,61.880,-3981.581,76.572,2.298,2.444,3780.989,79.409,2704.861,47.963,576.305,25.932,46.905
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,-0.007,0.010,5032.679,59.492,-3938.417,76.650,-0.995,-0.932,4777.442,79.855,3179.105,41.680,546.310,19.787,48.806,0.001,0.021,0.058,0.058,5011.035,59.625,-3918.182,77.212,0.684,0.191,4779.079,80.023,3180.794,41.602,548.450,19.825,48.818,-0.017,0.010,0.058,0.058,4997.669,60.544,-3905.937,77.295,3.919,2.316,4780.638,80.141,3181.506,41.591,550.193,19.903,48.827
9.000,14646.549,-11101.104,0.000,5082.704,58.551,-3852.921,77.239,0.000,0.000,0.000,0.030,5091.884,58.356,-3860.852,77.609,0.526,-0.583,5948.124,81.240,3682.601,36.294,518.394,15.370,50.688,0.009,0.040,0.057,0.057,5069.781,58.393,-3840.939,78.047,2.501,0.422,5950.186,81.420,3684.233,36.207,520.477,15.402,50.699,-0.008,0.026,0.057,0.057,5056.941,59.257,-3829.160,78.077,6.279,2.323,5951.805,81.548,3685.019,36.180,522.142,15.467,50.707
