Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat3,Targ1,,,,,,
1.000,Sat3,Targ1,,,,,,
2.000,Sat3,Targ1,,,,,,
3.000,Sat3,Targ1,,,,,,
4.000,Sat3,Targ1,,,,,,
5.000,Sat3,Targ1,,,,,,
6.000,Sat3,Targ1,,,,,,
7.000,Sat3,Targ1,,,,,,
8.000,Sat3,Targ1,,,,,,
9.000,Sat3,Targ1,,,,,,
10.000,Sat3,Targ1,,,,,,
11.000,Sat3,Targ1,,,,,,
12.000,Sat3,Targ1,,,,,,
13.000,Sat3,Targ1,,,,,,
14.000,Sat3,Targ1,,,,,,
15.000,Sat3,Targ1,,,,,,
16.000,Sat3,Targ1,,,,,,
17.000,Sat3,Targ1,,,,,,
18.000,Sat3,Targ1,,,,,,
19.000,Sat3,Targ1,,,,,,
20.000,Sat3,Targ1,,,,,,
21.000,Sat3,Targ1,,,,,,
22.000,Sat3,Targ1,,,,,,
23.000,Sat3,Targ1,,,,,,
24.000,Sat3,Targ1,,,,,,
25.000,Sat3,Targ1,,,,,,
26.000,Sat3,Targ1,,,,,,
27.000,Sat3,Targ1,,,,,,
28.000,Sat3,Targ1,,,,,,
29.000,Sat3,Targ1,,,,,,
30.000,Sat3,Targ1,,,,,,
31.000,Sat3,Targ1,,,,,,
32.000,Sat3,Targ1,,,,,,
33.000,Sat3,Targ1,,,,,,
34.000,Sat3,Targ1,,,,,,
35.000,Sat3,Targ1,,,,,,
36.000,Sat3,Targ1,Sat2,6.782,6.949,,,
37.000,Sat3,Targ1,Sat2,nan,nan,,,
38.000,Sat3,Targ1,Sat2,nan,6.144,,,
39.000,Sat3,Targ1,Sat2,nan,5.690,,,
40.000,Sat3,Targ1,Sat2,nan,5.256,,,
41.000,Sat3,Targ1,Sat2,nan,4.829,,,
42.000,Sat3,Targ1,Sat2,nan,4.453,,,
43.000,Sat3,Targ1,Sat2,nan,3.959,,,
44.000,Sat3,Targ1,Sat2,nan,3.528,,,
45.000,Sat3,Targ1,Sat2,nan,3.081,,,
46.000,Sat3,Targ1,Sat2,nan,2.584,,,
47.000,Sat3,Targ1,Sat2,nan,2.150,,,
48.000,Sat3,Targ1,Sat2,nan,1.677,,,
49.000,Sat3,Targ1,Sat2,nan,1.260,,,
50.000,Sat3,Targ1,Sat2,nan,0.833,,,
51.000,Sat3,Targ1,Sat2,nan,0.295,,,
52.000,Sat3,Targ1,Sat1,-0.033,0.014,,,
53.000,Sat3,Targ1,Sat1,nan,nan,,,
54.000,Sat3,Targ1,Sat1,-0.009,nan,,,
55.000,Sat3,Targ1,Sat1,-0.018,nan,,,
56.000,Sat3,Targ1,Sat1,-0.006,nan,,,
57.000,Sat3,Targ1,Sat1,-0.033,nan,,,
58.000,Sat3,Targ1,Sat1,0.008,nan,,,
59.000,Sat3,Targ1,Sat1,-0.019,nan,,,
60.000,Sat3,Targ1,Sat1,-0.036,nan,,,
61.000,Sat3,Targ1,Sat1,-0.004,nan,,,
62.000,Sat3,Targ1,Sat1,-0.027,nan,,,
63.000,Sat3,Targ1,Sat1,-0.011,nan,,,
64.000,Sat3,Targ1,Sat1,-0.057,nan,,,
65.000,Sat3,Targ1,Sat1,-0.024,nan,,,
66.000,Sat3,Targ1,Sat1,-0.045,nan,,,
67.000,Sat3,Targ1,Sat1,-0.011,nan,,,
68.000,Sat3,Targ1,Sat1,-0.013,nan,,,
69.000,Sat3,Targ1,Sat1,0.009,nan,,,
