Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,0.031,0.004,4519.767,68.359,-4516.543,66.531,0.521,-5.020,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4477.046,65.833,-4512.226,67.711,16.989,-2.141,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4504.009,69.498,-4500.153,68.762,-12.682,-1.013,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
1.000,13191.381,-12796.225,0.000,4577.938,67.485,-4440.874,69.568,0.000,0.000,0.004,-0.006,4587.703,67.376,-4449.424,67.567,-3.213,-4.905,894.448,98.414,881.578,98.206,675.619,96.581,37.006,0.001,0.016,0.065,0.065,4549.800,65.468,-4436.326,69.376,8.691,-2.699,896.168,98.342,881.395,98.111,677.158,96.414,37.018,0.133,-0.076,0.065,0.065,4572.193,68.369,-4431.659,69.753,-8.872,-0.574,894.836,98.398,882.218,98.187,676.631,96.544,37.014
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,0.013,0.028,4655.450,66.522,-4380.400,68.753,-3.387,-4.071,1017.135,94.451,976.437,92.900,592.325,87.222,37.412,0.018,0.067,0.060,0.060,4619.386,65.201,-4361.448,71.238,5.957,-2.704,1019.466,94.353,976.010,92.738,594.223,86.960,37.427,0.097,-0.001,0.060,0.060,4639.852,67.267,-4361.568,70.766,-4.270,0.339,1017.537,94.436,977.384,92.868,593.609,87.169,37.422
3.000,13574.339,-12389.239,0.000,4710.774,65.340,-4299.708,71.587,0.000,0.000,-0.034,-0.015,4720.182,65.230,-4312.592,69.436,-6.016,-3.762,1295.897,89.227,1195.919,84.390,589.511,73.346,38.959,-0.027,0.020,0.060,0.060,4684.848,64.263,-4288.805,72.408,1.091,-3.168,1298.546,89.148,1195.338,84.202,591.532,73.072,38.973,0.017,-0.031,0.060,0.060,4704.099,65.663,-4293.090,71.175,-3.680,0.393,1296.233,89.234,1197.149,84.348,590.939,73.298,38.969
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,0.004,-0.012,4786.237,64.482,-4241.059,70.776,-7.302,-3.221,1709.073,84.415,1496.295,74.359,601.928,58.311,40.901,0.029,0.034,0.061,0.061,4750.786,63.602,-4213.256,73.960,-2.252,-3.205,1711.868,84.384,1495.792,74.171,604.074,58.076,40.915,0.048,-0.002,0.061,0.061,4769.343,64.604,-4221.270,72.203,-3.046,0.446,1709.341,84.454,1497.817,74.308,603.478,58.279,40.912
5.000,13944.746,-11970.796,0.000,4839.259,63.135,-4154.571,73.539,0.000,0.000,-0.034,0.018,4849.664,63.326,-4170.431,71.612,-5.570,-2.204,2254.712,81.058,1854.467,64.502,604.528,44.854,42.920,-0.011,0.069,0.061,0.061,4813.321,62.350,-4139.409,74.786,-2.262,-2.549,2257.525,81.085,1854.290,64.317,606.845,44.670,42.934,-0.011,0.044,0.061,0.061,4831.762,63.185,-4150.615,72.751,-0.386,0.901,2254.967,81.129,1856.242,64.441,606.179,44.837,42.931
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,0.024,0.049,4914.935,62.700,-4095.055,73.205,-1.626,-1.046,2941.013,79.349,2258.396,55.712,593.486,34.072,44.920,0.058,0.087,0.061,0.061,4877.082,61.531,-4061.525,76.227,0.325,-1.584,2943.786,79.434,2258.698,55.527,595.980,33.931,44.935,0.046,0.072,0.060,0.060,4895.960,62.357,-4075.352,74.102,3.853,1.529,2941.353,79.445,2260.333,55.642,595.215,34.063,44.931
7.000,14302.259,-11541.286,0.000,4963.274,60.871,-4005.596,75.424,0.000,0.000,0.051,0.009,4979.899,62.046,-4017.511,74.845,-1.177,-0.790,3777.943,79.023,2702.033,48.208,572.619,25.911,46.883,0.070,0.022,0.059,0.059,4940.090,60.657,-3982.019,77.651,-0.228,-1.408,3780.724,79.161,2702.828,48.016,575.254,25.803,46.897,0.051,0.015,0.059,0.059,4959.821,61.552,-3997.946,75.553,4.243,1.334,3778.490,79.136,2704.012,48.130,574.387,25.908,46.893
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,-0.004,-0.006,5041.100,60.874,-3942.590,75.730,-1.722,-0.752,4775.728,79.713,3179.818,41.863,546.521,19.881,48.806,-0.007,0.004,0.058,0.058,4998.994,59.270,-3905.510,78.304,-1.496,-1.385,4778.657,79.898,3181.012,41.663,549.247,19.796,48.820,-0.030,0.002,0.058,0.058,5019.914,60.271,-3923.154,76.290,3.466,1.005,4776.613,79.838,3181.721,41.781,548.288,19.880,48.816
9.000,14646.549,-11101.104,0.000,5082.704,58.551,-3852.921,77.239,0.000,0.000,0.018,-0.016,5101.999,59.805,-3865.501,76.794,-2.751,-0.792,5944.949,81.095,3684.390,36.465,518.528,15.448,50.687,0.017,-0.004,0.057,0.057,5057.396,58.005,-3827.135,79.137,-3.042,-1.408,5948.240,81.318,3685.856,36.257,521.299,15.379,50.702,-0.007,-0.003,0.057,0.057,5079.736,59.121,-3846.187,77.239,2.135,0.672,5946.303,81.226,3686.131,36.381,520.275,15.448,50.697
