Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat3,Targ1,,,,,,
1.000,Sat3,Targ1,,,,,,
2.000,Sat3,Targ1,,,,,,
3.000,Sat3,Targ1,,,,,,
4.000,Sat3,Targ1,,,,,,
5.000,Sat3,Targ1,,,,,,
6.000,Sat3,Targ1,,,,,,
7.000,Sat3,Targ1,,,,,,
8.000,Sat3,Targ1,,,,,,
9.000,Sat3,Targ1,,,,,,
10.000,Sat3,Targ1,,,,,,
11.000,Sat3,Targ1,,,,,,
12.000,Sat3,Targ1,,,,,,
13.000,Sat3,Targ1,,,,,,
14.000,Sat3,Targ1,,,,,,
15.000,Sat3,Targ1,,,,,,
16.000,Sat3,Targ1,,,,,,
17.000,Sat3,Targ1,,,,,,
18.000,Sat3,Targ1,,,,,,
19.000,Sat3,Targ1,,,,,,
20.000,Sat3,Targ1,,,,,,
21.000,Sat3,Targ1,,,,,,
22.000,Sat3,Targ1,,,,,,
23.000,Sat3,Targ1,,,,,,
24.000,Sat3,Targ1,,,,,,
25.000,Sat3,Targ1,,,,,,
26.000,Sat3,Targ1,,,,,,
27.000,Sat3,Targ1,,,,,,
28.000,Sat3,Targ1,,,,,,
29.000,Sat3,Targ1,,,,,,
30.000,Sat3,Targ1,,,,,,
31.000,Sat3,Targ1,,,,,,
32.000,Sat3,Targ1,,,,,,
33.000,Sat3,Targ1,,,,,,
34.000,Sat3,Targ1,,,,,,
35.000,Sat3,Targ1,,,,,,
36.000,Sat3,Targ1,Sat2,6.709,6.953,,,
37.000,Sat3,Targ1,Sat2,6.371,6.510,,,
38.000,Sat3,Targ1,Sat2,5.964,6.117,,,
39.000,Sat3,Targ1,Sat2,5.599,5.697,,,
40.000,Sat3,Targ1,Sat2,5.173,5.273,,,
41.000,Sat3,Targ1,Sat2,4.775,4.841,,,
42.000,Sat3,Targ1,Sat2,4.368,4.407,,,
43.000,Sat3,Targ1,Sat2,3.942,3.955,,,
44.000,Sat3,Targ1,Sat2,3.506,3.521,,,
45.000,Sat3,Targ1,Sat2,3.085,3.073,,,
46.000,Sat3,Targ1,Sat2,2.607,2.616,,,
47.000,Sat3,Targ1,Sat2,2.157,2.170,,,
48.000,Sat3,Targ1,Sat2,1.673,1.731,,,
49.000,Sat3,Targ1,Sat2,1.233,1.234,,,
50.000,Sat3,Targ1,Sat2,0.771,0.808,,,
51.000,Sat3,Targ1,Sat2,0.280,0.300,,,
52.000,Sat3,Targ1,Sat1,-0.009,0.015,,,
53.000,Sat3,Targ1,Sat1,-0.012,0.009,,,
54.000,Sat3,Targ1,Sat1,0.023,-0.017,,,
55.000,Sat3,Targ1,Sat1,0.014,-0.013,,,
56.000,Sat3,Targ1,Sat1,-0.005,-0.010,,,
57.000,Sat3,Targ1,Sat1,0.018,-0.022,,,
58.000,Sat3,Targ1,Sat1,-0.025,-0.003,,,
59.000,Sat3,Targ1,Sat1,-0.010,-0.000,,,
60.000,Sat3,Targ1,Sat1,-0.024,0.001,,,
61.000,Sat3,Targ1,Sat1,0.010,0.023,,,
62.000,Sat3,Targ1,Sat1,-0.006,0.043,,,
63.000,Sat3,Targ1,Sat1,-0.033,-0.003,,,
64.000,Sat3,Targ1,Sat1,-0.003,-0.011,,,
65.000,Sat3,Targ1,Sat1,-0.018,-0.015,,,
66.000,Sat3,Targ1,Sat1,-0.015,-0.007,,,
67.000,Sat3,Targ1,Sat1,-0.012,-0.017,,,
68.000,Sat3,Targ1,Sat1,-0.017,0.009,,,
