Time,x_sat,y_sat,z_sat,True_x,True_vx,True_y,True_vy,True_z,True_vz,InTrackAngle,CrossTrackAngle,Est_x,Est_vx,Est_y,Est_vy,Est_z,Est_vz,Cov_xx,Cov_vxvx,Cov_yy,Cov_vyvy,Cov_zz,Cov_vzvz,Track Error,Innovation_ITA,Innovation_CTA,InnovationCov_ITA,InnovationCov_CTA,DDF_Est_x,DDF_Est_vx,DDF_Est_y,DDF_Est_vy,DDF_Est_z,DDF_Est_vz,DDF_Cov_xx,DDF_Cov_vxvx,DDF_Cov_yy,DDF_Cov_vyvy,DDF_Cov_zz,DDF_Cov_vzvz,DDF Track Error,DDF_Innovation_ITA,DDF_Innovation_CTA,DDF_InnovationCov_ITA,DDF_InnovationCov_CTA,ET_Est_x,ET_Est_vx,ET_Est_y,ET_Est_vy,ET_Est_z,ET_Est_vz,ET_Cov_xx,ET_Cov_vxvx,ET_Cov_yy,ET_Cov_vyvy,ET_Cov_zz,ET_Cov_vzvz,ET_Track Error
0.000,12995.305,-12995.305,0.000,4509.927,68.535,-4509.927,68.535,0.000,0.000,0.026,0.019,4516.895,68.330,-4526.772,71.961,21.889,2.162,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4514.754,69.099,-4521.550,68.918,1.184,0.298,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960,0.000,0.000,1.000,1.000,4491.023,68.373,-4526.365,69.884,6.963,-0.766,1000.000,100.000,1000.000,100.000,1000.000,100.000,38.960
2.000,13384.407,-12594.188,0.000,4644.893,66.420,-4370.796,70.586,0.000,0.000,-0.027,0.006,4650.429,65.895,-4381.640,73.864,15.118,0.577,1108.708,94.388,1070.503,92.789,777.859,87.044,38.762,-0.012,-0.119,0.072,0.072,4650.297,66.889,-4382.185,70.915,1.538,0.263,1108.813,94.506,1070.559,92.946,778.051,87.322,38.763,-0.008,-0.003,0.072,0.072,4630.943,66.910,-4378.825,72.758,3.571,-1.031,1110.218,94.467,1069.992,92.851,778.879,87.187,38.769
4.000,13761.133,-12181.426,0.000,4775.568,64.245,-4227.627,72.572,0.000,0.000,-0.009,0.006,4779.457,63.453,-4232.406,75.722,9.141,-0.716,1815.049,86.055,1617.051,76.851,827.850,62.419,42.254,-0.006,-0.072,0.076,0.076,4782.560,64.810,-4237.563,73.070,1.643,0.187,1815.446,86.156,1617.061,77.074,828.391,62.758,42.257,0.010,-0.004,0.076,0.076,4765.474,65.108,-4227.801,75.427,1.353,-1.059,1817.768,86.161,1616.025,76.938,829.578,62.612,42.263
6.000,14125.135,-11757.400,0.000,4901.832,62.010,-4080.554,74.490,0.000,0.000,0.013,0.034,4904.117,61.053,-4078.873,77.621,7.405,-0.765,3053.498,81.516,2411.999,59.806,857.404,40.287,46.243,0.003,-0.003,0.078,0.078,4911.362,62.763,-4087.657,75.331,4.497,0.594,3054.048,81.543,2411.633,60.027,857.928,40.562,46.245,0.022,0.024,0.078,0.078,4894.567,62.882,-4073.351,77.673,3.078,-0.428,3056.682,81.631,2410.901,59.871,859.422,40.454,46.252
8.000,14476.077,-11322.504,0.000,5023.569,59.718,-3929.712,76.340,0.000,0.000,-0.001,0.010,5022.022,58.358,-3924.193,79.057,4.063,-1.017,4885.632,81.474,3358.777,45.882,831.392,25.596,50.070,-0.029,-0.018,0.076,0.076,5033.886,60.340,-3936.005,77.086,3.956,0.351,4885.963,81.437,3357.978,46.083,831.604,25.799,50.070,-0.011,-0.017,0.076,0.076,5015.861,60.144,-3918.785,79.173,2.139,-0.440,4888.595,81.611,3358.144,45.904,833.331,25.723,50.078
10.000,14813.634,-10877.138,0.000,5140.666,57.370,-3775.240,78.120,0.000,0.000,0.015,-0.027,5135.623,55.783,-3765.304,80.633,-1.348,-1.419,7395.527,84.169,4402.006,35.173,778.493,16.689,53.702,-0.012,-0.036,0.072,0.072,5152.338,57.966,-3779.765,78.930,0.103,-0.195,7395.203,84.091,4401.014,35.352,778.355,16.839,53.701,0.003,-0.049,0.072,0.072,5132.238,57.477,-3760.683,80.714,-1.783,-0.803,7398.231,84.336,4402.016,35.155,780.215,16.784,53.709
12.000,15137.495,-10421.716,0.000,5253.014,54.970,-3617.281,79.827,0.000,0.000,0.019,0.017,5244.000,53.175,-3603.380,82.134,-0.994,-1.086,10655.097,88.186,5490.458,26.833,719.288,11.298,57.151,-0.014,0.037,0.068,0.068,5265.777,55.516,-3620.237,80.661,1.312,-0.029,10653.711,88.084,5489.598,26.991,718.860,11.412,57.148,-0.001,0.019,0.068,0.068,5243.118,54.788,-3599.890,82.164,-0.520,-0.505,10658.041,88.382,5490.933,26.786,720.769,11.370,57.157
14.000,15447.359,-9956.657,0.000,5360.511,52.519,-3455.981,81.461,0.000,0.000,-0.008,-0.007,5345.962,50.458,-3440.723,83.349,-2.511,-1.024,14726.741,92.726,6570.738,20.182,662.610,7.940,60.419,-0.046,0.008,0.064,0.064,5372.938,52.925,-3459.711,82.081,0.242,-0.122,14723.900,92.614,6570.269,20.319,661.959,8.029,60.416,-0.036,-0.013,0.064,0.064,5347.436,52.007,-3438.469,83.337,-1.491,-0.501,14730.694,92.945,6571.297,20.120,663.865,7.996,60.425
16.000,15742.939,-9482.392,0.000,5463.056,50.019,-3291.489,83.019,0.000,0.000,-0.055,-0.023,5441.523,47.687,-3277.911,84.315,-4.645,-1.030,19666.786,97.355,7589.162,14.809,611.344,5.771,63.508,-0.082,-0.001,0.061,0.061,5473.846,50.258,-3298.774,83.236,-1.668,-0.258,19662.181,97.239,7589.256,14.926,614.650,5.870,63.514,-0.074,-0.023,0.061,0.061,5445.277,49.188,-3276.873,84.279,-3.298,-0.566,19672.697,97.589,7589.393,14.742,612.402,5.815,63.514
18.000,16023.964,-8999.360,0.000,5560.556,47.473,-3123.956,84.501,0.000,0.000,-0.004,0.022,5534.022,45.042,-3108.160,85.637,-3.091,-0.763,25524.885,101.822,8495.927,10.483,565.959,4.320,66.420,-0.005,0.054,0.059,0.059,5571.869,47.706,-3130.628,84.741,-0.006,-0.097,25518.292,101.708,8496.640,10.580,567.570,4.390,66.422,0.003,0.032,0.059,0.059,5540.231,46.520,-3108.356,85.593,-1.541,-0.353,25533.943,102.066,8495.478,10.421,566.861,4.355,66.426
