Time,Satellite,Target,Sender,Received Alpha,Received Beta,Receiver,Sent Alpha,Sent Beta
0.000,Sat2,Targ1,,,,,,
2.000,Sat2,Targ1,,,,,,
4.000,Sat2,Targ1,,,,,,
6.000,Sat2,Targ1,,,,,,
8.000,Sat2,Targ1,,,,,,
10.000,Sat2,Targ1,,,,,,
12.000,Sat2,Targ1,Sat1,0.019,0.017,,,
14.000,Sat2,Targ1,Sat1,nan,-0.007,,,
16.000,Sat2,Targ1,Sat1,-0.055,nan,,,
18.000,Sat2,Targ1,Sat1,nan,nan,,,
20.000,Sat2,Targ1,Sat1,nan,nan,,,
22.000,Sat2,Targ1,Sat1,nan,nan,,,
24.000,Sat2,Targ1,Sat1,nan,nan,,,
26.000,Sat2,Targ1,Sat1,nan,nan,,,
28.000,Sat2,Targ1,Sat1,nan,nan,,,
30.000,Sat2,Targ1,Sat1,nan,nan,,,
32.000,Sat2,Targ1,Sat1,nan,nan,,,
34.000,Sat2,Targ1,Sat1,nan,nan,,,
36.000,Sat2,Targ1,Sat1,nan,nan,Sat1,6.716,nan
38.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
40.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
42.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
44.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
46.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
48.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
50.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
52.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
54.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
56.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
58.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
60.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
62.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
64.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
66.000,Sat2,Targ1,Sat1,nan,nan,Sat1,nan,nan
68.000,Sat2,Targ1,Sat1,nan,nan,,,
70.000,Sat2,Targ1,Sat1,nan,nan,,,
72.000,Sat2,Targ1,Sat1,nan,nan,,,
74.000,Sat2,Targ1,Sat1,nan,nan,,,
76.000,Sat2,Targ1,Sat1,nan,nan,,,
78.000,Sat2,Targ1,Sat1,nan,nan,,,
80.000,Sat2,Targ1,Sat1,nan,nan,,,
82.000,Sat2,Targ1,Sat1,nan,nan,,,
84.000,Sat2,Targ1,Sat1,nan,nan,,,
86.000,Sat2,Targ1,Sat1,nan,nan,,,
88.000,Sat2,Targ1,Sat1,nan,nan,,,
90.000,Sat2,Targ1,Sat1,nan,nan,,,
92.000,Sat2,Targ1,Sat1,nan,nan,,,
94.000,Sat2,Targ1,,,,,,
96.000,Sat2,Targ1,,,,,,
98.000,Sat2,Targ1,,,,,,
100.000,Sat2,Targ1,,,,,,
102.000,Sat2,Targ1,,,,,,
104.000,Sat2,Targ1,,,,,,
106.000,Sat2,Targ1,,,,,,
108.000,Sat2,Targ1,,,,,,
110.000,Sat2,Targ1,,,,,,
112.000,Sat2,Targ1,,,,,,
114.000,Sat2,Targ1,,,,,,
116.000,Sat2,Targ1,,,,,,
118.000,Sat2,Targ1,,,,,,
120.000,Sat2,Targ1,,,,,,
